Name,Price,Set,Rarity,x1,x2,x3,x4
Verix Bladewing,1.34,DOM,Mythic,0.00,0.00%,+0.03,+2.00%
Darigaaz Reincarnated,1.31,DOM,Mythic,-0.02,-2.00%,-0.04,-3.00%
Final Parting,1.29,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Oath of Teferi,1.29,DOM,Rare,0.00,0.00%,+0.03,+2.00%
"Squee, the Immortal",1.22,DOM,Rare,0.00,0.00%,-0.05,-4.00%
"Marwyn, the Nurturer",1.19,DOM,Rare,0.00,0.00%,+0.05,+4.00%
Jaya Ballard,1.14,DOM,Mythic,+0.05,+5.00%,+0.05,+5.00%
Sylvan Awakening,1.10,DOM,Rare,+0.02,+2.00%,+0.03,+3.00%
Blackblade Reforged,1.09,DOM,Rare,0.00,0.00%,-0.01,-1.00%
"Jodah, Archmage Eternal",1.04,DOM,Rare,0.00,0.00%,0.00,0.00%
Siege-Gang Commander,1.00,DOM,Rare,0.00,0.00%,0.00,0.00%
"Josu Vess, Lich Knight",0.99,DOM,Rare,0.00,0.00%,0.00,0.00%
Kamahl's Druidic Vow,0.99,DOM,Rare,0.00,0.00%,+0.01,+1.00%
Thran Temporal Gateway,0.99,DOM,Rare,-0.01,-1.00%,0.00,0.00%
Merfolk Trickster,0.95,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Song of Freyalise,0.85,DOM,Uncommon,0.00,0.00%,-0.04,-5.00%
Grand Warlord Radha,0.84,DOM,Rare,-0.01,-1.00%,+0.03,+4.00%
Goblin Chainwhirler,0.81,DOM,Rare,-0.01,-1.00%,-0.02,-2.00%
Benalish Marshal,0.75,DOM,Rare,0.00,0.00%,0.00,0.00%
"Traxos, Scourge of Kroog",0.69,DOM,Rare,+0.01,+1.00%,-0.01,-1.00%
"Teshar, Ancestor's Apostle",0.62,DOM,Rare,0.00,0.00%,-0.01,-2.00%
Forebear's Blade,0.61,DOM,Rare,0.00,0.00%,0.00,0.00%
Goblin Warchief,0.60,DOM,Uncommon,0.00,0.00%,+0.01,+2.00%
Tempest Djinn,0.59,DOM,Rare,0.00,0.00%,-0.01,-2.00%
Yawgmoth's Vile Offering,0.55,DOM,Rare,0.00,0.00%,0.00,0.00%
"Naban, Dean of Iteration",0.54,DOM,Rare,+0.01,+2.00%,+0.01,+2.00%
Jhoira's Familiar,0.52,DOM,Uncommon,0.00,0.00%,0.00,0.00%
The Antiquities War,0.52,DOM,Rare,-0.01,-2.00%,0.00,0.00%
"Aryel, Knight of Windgrace",0.50,DOM,Rare,0.00,0.00%,0.00,0.00%
"Danitha Capashen, Paragon",0.50,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Territorial Allosaurus,0.50,DOM,Rare,0.00,0.00%,0.00,0.00%
Unwind,0.50,DOM,Common,0.00,0.00%,0.00,0.00%
Verdant Force,0.50,DOM,Rare,0.00,0.00%,0.00,0.00%
"Baird, Steward of Argive",0.49,DOM,Uncommon,0.00,0.00%,-0.01,-2.00%
Fall of the Thran,0.49,DOM,Rare,0.00,0.00%,+0.01,+2.00%
Jaya's Immolating Inferno,0.49,DOM,Rare,0.00,0.00%,0.00,0.00%
Lich's Mastery,0.49,DOM,Rare,0.00,0.00%,0.00,0.00%
Precognition Field,0.49,DOM,Rare,0.00,0.00%,0.00,0.00%
The Mending of Dominaria,0.49,DOM,Rare,0.00,0.00%,0.00,0.00%
The Mirari Conjecture,0.49,DOM,Rare,0.00,0.00%,0.00,0.00%
"Torgaar, Famine Incarnate",0.48,DOM,Rare,+0.01,+2.00%,+0.01,+2.00%
Dread Shade,0.45,DOM,Rare,-0.01,-2.00%,0.00,0.00%
Grow from the Ashes,0.45,DOM,Common,0.00,0.00%,-0.02,-4.00%
The Eldest Reborn,0.45,DOM,Uncommon,0.00,0.00%,-0.01,-2.00%
Mishra's Self-Replicator,0.44,DOM,Rare,0.00,0.00%,0.00,0.00%
"Niambi, Faithful Healer",0.43,DOM,Rare,-0.01,-2.00%,+0.01,+2.00%
Cast Down,0.41,DOM,Uncommon,-0.01,-2.00%,-0.01,-2.00%
Chandra's Outburst,0.41,DOM,Rare,0.00,0.00%,0.00,0.00%
Rite of Belzenlok,0.41,DOM,Rare,0.00,0.00%,0.00,0.00%
Two-Headed Giant,0.40,DOM,Rare,+0.01,+3.00%,+0.02,+5.00%
"Whisper, Blood Liturgist",0.40,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Broken Bond,0.39,DOM,Common,0.00,0.00%,-0.01,-3.00%
Gaea's Blessing,0.39,DOM,Uncommon,0.00,0.00%,-0.01,-3.00%
Wizard's Retort,0.39,DOM,Uncommon,0.00,0.00%,-0.01,-3.00%
"Evra, Halcyon Witness",0.38,DOM,Rare,-0.01,-3.00%,0.00,0.00%
Curator's Ward,0.35,DOM,Uncommon,-0.02,-5.00%,-0.03,-8.00%
"Kazarov, Sengir Pureblood",0.35,DOM,Rare,0.00,0.00%,0.00,0.00%
Sporecrown Thallid,0.35,DOM,Uncommon,0.00,0.00%,0.00,0.00%
The First Eruption,0.35,DOM,Rare,0.00,0.00%,+0.01,+3.00%
Haphazard Bombardment,0.34,DOM,Rare,0.00,0.00%,+0.01,+3.00%
Llanowar Elves,0.34,DOM,Common,0.00,0.00%,0.00,0.00%
Zhalfirin Void,0.34,DOM,Uncommon,0.00,0.00%,-0.01,-3.00%
Daring Archaeologist,0.33,DOM,Rare,0.00,0.00%,0.00,0.00%
Dauntless Bodyguard,0.33,DOM,Uncommon,0.00,0.00%,-0.02,-6.00%
"Zahid, Djinn of the Lamp",0.33,DOM,Rare,+0.01,+3.00%,0.00,0.00%
"Slimefoot, the Stowaway",0.32,DOM,Uncommon,0.00,0.00%,-0.01,-3.00%
"Adeliz, the Cinder Wind",0.31,DOM,Uncommon,+0.01,+3.00%,+0.01,+3.00%
Arvad the Cursed,0.30,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Fungal Plots,0.30,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Knight of Malice,0.30,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Seal Away,0.30,DOM,Uncommon,0.00,0.00%,0.00,0.00%
"Shanna, Sisay's Legacy",0.30,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Skirk Prospector,0.30,DOM,Common,0.00,0.00%,-0.01,-3.00%
Spore Swarm,0.30,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Wizard's Lightning,0.30,DOM,Uncommon,0.00,0.00%,-0.01,-3.00%
"Raff Capashen, Ship's Mage",0.29,DOM,Uncommon,0.00,0.00%,0.00,0.00%
"Valduk, Keeper of the Flame",0.29,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Amaranthine Wall,0.28,DOM,Uncommon,0.00,0.00%,-0.01,-3.00%
Knight of Grace,0.28,DOM,Uncommon,0.00,0.00%,-0.01,-3.00%
Llanowar Scout,0.27,DOM,Common,0.00,0.00%,0.00,0.00%
The Flame of Keld,0.27,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Settle the Score,0.26,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Artificer's Assistant,0.25,DOM,Common,0.00,0.00%,0.00,0.00%
Blink of an Eye,0.25,DOM,Common,0.00,0.00%,0.00,0.00%
Board the Weatherlight,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Chainer's Torment,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Champion of the Flame,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Diligent Excavator,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Elfhame Druid,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Fight with Fire,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Firefist Adept,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
"Garna, the Bloodflame",0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Ghitu Lavarunner,0.25,DOM,Common,0.00,0.00%,0.00,0.00%
Goblin Barrage,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
"Grunn, the Lonely King",0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
"Hallar, the Firefletcher",0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Howling Golem,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Icy Manipulator,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
In Bolas's Clutches,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Karplusan Hound,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
"Kwende, Pride of Femeref",0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Lingering Phantom,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Meandering River,0.25,DOM,Common,0.00,0.00%,0.00,0.00%
Memorial to Folly,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Memorial to Genius,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Memorial to Glory,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Memorial to Unity,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Memorial to War,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Mountain262,0.25,DOM,Basic Land,+0.01,+4.00%,0.00,0.00%
Nature's Spiral,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
On Serra's Wings,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Opt,0.25,DOM,Common,0.00,0.00%,0.00,0.00%
"Rona, Disciple of Gix",0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Sage of Lat-Nam,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Saproling Migration,0.25,DOM,Common,0.00,0.00%,0.00,0.00%
Sentinel of the Pearl Trident,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Serra Angel,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Shield of the Realm,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Skizzik,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
"Slinn Voda, the Rising Deep",0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Sorcerer's Wand,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Teferi's Sentinel,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Temporal Machinations,0.25,DOM,Common,+0.01,+4.00%,0.00,0.00%
Thallid Soothsayer,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Thorn Elemental,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
"Tiana, Ship's Caretaker",0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Time of Ice,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Triumph of Gerrard,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Untamed Kavu,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
"Urgoros, the Empty One",0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Urza's Tome,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Warcry Phoenix,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Warlord's Fury,0.25,DOM,Common,0.00,0.00%,0.00,0.00%
Weight of Memory,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Wild Onslaught,0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
"Yargle, Glutton of Urborg",0.25,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Forest269,0.24,DOM,Basic Land,0.00,0.00%,-0.01,-4.00%
Fungal Infection,0.24,DOM,Common,0.00,0.00%,0.00,0.00%
Island254,0.24,DOM,Basic Land,0.00,0.00%,0.00,0.00%
Juggernaut,0.24,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Orcish Vandal,0.24,DOM,Uncommon,0.00,0.00%,-0.01,-4.00%
Powerstone Shard,0.24,DOM,Common,0.00,0.00%,-0.01,-4.00%
Sanctum Spirit,0.24,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Syncopate,0.24,DOM,Common,0.00,0.00%,0.00,0.00%
Voltaic Servant,0.24,DOM,Common,0.00,0.00%,-0.01,-4.00%
Adventurous Impulse,0.23,DOM,Common,0.00,0.00%,0.00,0.00%
Demonic Vigor,0.23,DOM,Common,+0.01,+5.00%,-0.01,-4.00%
Swamp258,0.23,DOM,Basic Land,0.00,0.00%,-0.02,-8.00%
Divest,0.22,DOM,Common,+0.01,+5.00%,-0.01,-4.00%
Forest266,0.22,DOM,Basic Land,-0.01,-4.00%,-0.02,-8.00%
Island257,0.22,DOM,Basic Land,0.00,0.00%,-0.02,-8.00%
Timber Gorge,0.22,DOM,Common,+0.01,+5.00%,0.00,0.00%
Dark Bargain,0.21,DOM,Common,+0.01,+5.00%,+0.01,+5.00%
Sparring Construct,0.21,DOM,Common,0.00,0.00%,0.00,0.00%
Yavimaya Sapherd,0.21,DOM,Common,0.00,0.00%,-0.02,-9.00%
Academy Journeymage,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Adamant Will,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Ancient Animus,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Arbor Armament,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Arcane Flight,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Benalish Honor Guard,0.20,DOM,Common,+0.01,+5.00%,0.00,0.00%
Blessed Light,0.20,DOM,Common,+0.01,+5.00%,0.00,0.00%
Blessing of Belzenlok,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Bloodstone Goblin,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Bloodtallow Candle,0.20,DOM,Common,+0.01,+5.00%,0.00,0.00%
Caligo Skin-Witch,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Call the Cavalry,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Corrosive Ooze,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Deep Freeze,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Forest267,0.20,DOM,Basic Land,0.00,0.00%,0.00,0.00%
Forest268,0.20,DOM,Basic Land,0.00,0.00%,-0.03,-13.00%
Ghitu Journeymage,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Gift of Growth,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Homarid Explorer,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Invoke the Divine,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Island255,0.20,DOM,Basic Land,0.00,0.00%,0.00,0.00%
Island256,0.20,DOM,Basic Land,0.00,0.00%,0.00,0.00%
Jousting Lance,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Mesa Unicorn,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Mountain265,0.20,DOM,Basic Land,0.00,0.00%,0.00,0.00%
Navigator's Compass,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Plains252,0.20,DOM,Basic Land,0.00,0.00%,0.00,0.00%
Radiating Lightning,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Run Amok,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Shivan Fire,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Short Sword,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Skittering Surveyor,0.20,DOM,Common,0.00,0.00%,-0.01,-5.00%
Swamp259,0.20,DOM,Basic Land,0.00,0.00%,-0.02,-9.00%
Swamp260,0.20,DOM,Basic Land,0.00,0.00%,0.00,0.00%
Thallid Omnivore,0.20,DOM,Common,0.00,0.00%,0.00,0.00%
Academy Drake,0.19,DOM,Common,0.00,0.00%,-0.01,-5.00%
Baloth Gorger,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Befuddle,0.19,DOM,Common,+0.01,+6.00%,0.00,0.00%
Cabal Paladin,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Cloudreader Sphinx,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Cold-Water Snapper,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
D'Avenant Trapper,0.19,DOM,Common,+0.01,+6.00%,0.00,0.00%
Deathbloom Thallid,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Drudge Sentinel,0.19,DOM,Common,+0.01,+6.00%,0.00,0.00%
Dub,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Feral Abomination,0.19,DOM,Common,0.00,0.00%,-0.01,-5.00%
Fervent Strike,0.19,DOM,Common,0.00,0.00%,-0.01,-5.00%
Frenzied Rage,0.19,DOM,Common,0.00,0.00%,-0.01,-5.00%
Ghitu Chronicler,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Gideon's Reproach,0.19,DOM,Common,+0.01,+6.00%,0.00,0.00%
Guardians of Koilos,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Healing Grace,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Keldon Overseer,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Keldon Raider,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Keldon Warcaller,0.19,DOM,Common,+0.01,+6.00%,0.00,0.00%
Llanowar Envoy,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Mammoth Spider,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Mountain263,0.19,DOM,Basic Land,-0.01,-5.00%,-0.01,-5.00%
Pardic Wanderer,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Plains250,0.19,DOM,Basic Land,0.00,0.00%,-0.01,-5.00%
Plains251,0.19,DOM,Basic Land,0.00,0.00%,-0.01,-5.00%
Plains253,0.19,DOM,Basic Land,-0.01,-5.00%,-0.01,-5.00%
Primordial Wurm,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Rampaging Cyclops,0.19,DOM,Common,0.00,0.00%,-0.01,-5.00%
Relic Runner,0.19,DOM,Common,+0.01,+6.00%,0.00,0.00%
Rescue,0.19,DOM,Common,0.00,0.00%,-0.01,-5.00%
Seismic Shift,0.19,DOM,Common,0.00,0.00%,-0.01,-5.00%
Sergeant-at-Arms,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Serra Disciple,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Swamp261,0.19,DOM,Basic Land,0.00,0.00%,-0.01,-5.00%
Tolarian Scholar,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Tragic Poet,0.19,DOM,Common,0.00,0.00%,-0.01,-5.00%
Vicious Offering,0.19,DOM,Common,0.00,0.00%,-0.01,-5.00%
Vodalian Arcanist,0.19,DOM,Common,0.00,0.00%,0.00,0.00%
Aesthir Glider,0.18,DOM,Common,0.00,0.00%,0.00,0.00%
Aven Sentry,0.18,DOM,Common,0.00,0.00%,0.00,0.00%
Cabal Evangel,0.18,DOM,Common,0.00,0.00%,-0.01,-5.00%
Charge,0.18,DOM,Common,0.00,0.00%,-0.01,-5.00%
Divination,0.18,DOM,Common,0.00,0.00%,-0.01,-5.00%
Eviscerate,0.18,DOM,Common,0.00,0.00%,-0.01,-5.00%
Excavation Elephant,0.18,DOM,Common,0.00,0.00%,-0.01,-5.00%
Fiery Intervention,0.18,DOM,Common,+0.01,+6.00%,0.00,0.00%
Fire Elemental,0.18,DOM,Common,+0.01,+6.00%,0.00,0.00%
Gaea's Protector,0.18,DOM,Common,0.00,0.00%,-0.01,-5.00%
Knight of New Benalia,0.18,DOM,Common,+0.02,+13.00%,0.00,0.00%
Krosan Druid,0.18,DOM,Common,0.00,0.00%,-0.01,-5.00%
Pegasus Courser,0.18,DOM,Common,+0.02,+13.00%,0.00,0.00%
Pyromantic Pilgrim,0.18,DOM,Common,+0.02,+13.00%,0.00,0.00%
Soul Salvage,0.18,DOM,Common,0.00,0.00%,-0.01,-5.00%
Stronghold Confessor,0.18,DOM,Common,0.00,0.00%,-0.01,-5.00%
Windgrace Acolyte,0.18,DOM,Common,0.00,0.00%,0.00,0.00%
Pierce the Sky,0.17,DOM,Common,0.00,0.00%,-0.01,-6.00%
Mountain264,0.16,DOM,Basic Land,-0.01,-6.00%,-0.03,-16.00%
"Teferi, Hero of Dominaria",4.47,DOM,Mythic,+0.03,+1.00%,+0.65,+17.00%
Mox Amber,3.55,DOM,Mythic,+0.68,+24.00%,+1.43,+67.00%
"Karn, Scion of Urza",1.16,DOM,Mythic,+0.09,+8.00%,+0.32,+38.00%
Firesong and Sunspeaker,1.12,DOM,Rare,0.00,0.00%,-0.24,-18.00%
Chandra's Outburst,0.79,DOM,Rare,0.00,0.00%,0.00,0.00%
Pyromantic Pilgrim,0.76,DOM,Common,0.00,0.00%,0.00,0.00%
Karplusan Hound,0.65,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Timber Gorge,0.49,DOM,Common,0.00,0.00%,0.00,0.00%
Sulfur Falls,0.43,DOM,Rare,-0.04,-9.00%,-0.07,-14.00%
Teferi's Sentinel,0.34,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Damping Sphere,0.31,DOM,Uncommon,0.00,0.00%,-0.16,-34.00%
Meandering River,0.31,DOM,Common,0.00,0.00%,0.00,0.00%
Temporal Machinations,0.30,DOM,Common,0.00,0.00%,0.00,0.00%
"Chandra, Bold Pyromancer",0.26,DOM,Mythic,0.00,0.00%,0.00,0.00%
"Niambi, Faithful Healer",0.26,DOM,Rare,0.00,0.00%,0.00,0.00%
"Teferi, Timebender",0.19,DOM,Mythic,0.00,0.00%,-0.03,-14.00%
Cast Down,0.14,DOM,Uncommon,+0.03,+27.00%,-0.16,-53.00%
History of Benalia,0.13,DOM,Mythic,+0.04,+44.00%,+0.03,+30.00%
Isolated Chapel,0.12,DOM,Rare,0.00,0.00%,-0.05,-29.00%
Lyra Dawnbringer,0.12,DOM,Mythic,-0.01,-8.00%,+0.03,+33.00%
Goblin Chainwhirler,0.10,DOM,Rare,-0.09,-47.00%,-0.04,-29.00%
Aven Sentry,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Bloodstone Goblin,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Cloudreader Sphinx,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Dark Bargain,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Deathbloom Thallid,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Divination,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Drudge Sentinel,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Dub,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Excavation Elephant,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Feral Abomination,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Fervent Strike,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Firefist Adept,0.05,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Gideon's Reproach,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Invoke the Divine,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Island255,0.05,DOM,Basic Land,0.00,0.00%,0.00,0.00%
Juggernaut,0.05,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Knight of New Benalia,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Lingering Phantom,0.05,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Nature's Spiral,0.05,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Orcish Vandal,0.05,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Pegasus Courser,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Pierce the Sky,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Plains252,0.05,DOM,Basic Land,0.00,0.00%,0.00,0.00%
Primordial Wurm,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Rampaging Cyclops,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Relic Runner,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Sanctum Spirit,0.05,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Sentinel of the Pearl Trident,0.05,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Sergeant-at-Arms,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Stronghold Confessor,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Swamp259,0.05,DOM,Basic Land,0.00,0.00%,0.00,0.00%
Swamp261,0.05,DOM,Basic Land,0.00,0.00%,0.00,0.00%
Thallid Omnivore,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Thorn Elemental,0.05,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Vodalian Arcanist,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
Warcry Phoenix,0.05,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Wild Onslaught,0.05,DOM,Uncommon,0.00,0.00%,0.00,0.00%
Windgrace Acolyte,0.05,DOM,Common,0.00,0.00%,0.00,0.00%
