Name,Price,Set,Rarity
Overflowing Insight,0.99,XLN,Mythic
Pillar of Origins,0.99,XLN,Uncommon
Kopala Warden of Waves,0.89,XLN,Rare
Otepec Huntmaster,0.75,XLN,Uncommon
Ranging Raptors,0.74,XLN,Uncommon
Boneyard Parley,0.67,XLN,Mythic
Deathgorge Scavenger,0.66,XLN,Rare
Rowdy Crew,0.65,XLN,Mythic
Vances Blasting Cannons,0.63,XLN,Rare
Ashes of the Abhorrent,0.60,XLN,Rare
Bishop of Rebirth,0.58,XLN,Rare
Field of Ruin,0.58,XLN,Uncommon
Goring Ceratops,0.58,XLN,Rare
Arguels Blood Fast,0.56,XLN,Rare
Fathom Fleet Captain,0.56,XLN,Rare
Raiders Wake,0.54,XLN,Uncommon
Siren Stormtamer,0.54,XLN,Uncommon
Captivating Crew,0.50,XLN,Rare
Deadeye Quartermaster,0.50,XLN,Uncommon
Deadeye Tracker,0.50,XLN,Rare
Wily Goblin,0.50,XLN,Uncommon
Chart a Course,0.49,XLN,Uncommon
Fell Flagship,0.49,XLN,Rare
Ruin Raider,0.49,XLN,Rare
Sorcerous Spyglass,0.49,XLN,Rare
Tocatli Honor Guard,0.49,XLN,Rare
Verdant Suns Avatar,0.49,XLN,Rare
Priest of the Wakening Sun,0.48,XLN,Rare
Deeproot Champion,0.47,XLN,Rare
Sanguine Sacrament,0.47,XLN,Rare
Burning Suns Avatar,0.46,XLN,Rare
Entrancing Melody,0.46,XLN,Rare
Vicious Conquistador,0.46,XLN,Uncommon
Bloodcrazed Paladin,0.45,XLN,Rare
Dreamcaller Siren,0.45,XLN,Rare
Favorable Winds,0.40,XLN,Uncommon
Sword-Point Diplomacy,0.40,XLN,Rare
Deeproot Waters,0.39,XLN,Uncommon
Ruthless Knave,0.39,XLN,Uncommon
Ixalans Binding,0.37,XLN,Uncommon
Old-Growth Dryads,0.37,XLN,Rare
Forest276,0.36,XLN,Basic Land
Waker of the Wilds,0.36,XLN,Rare
Kitesail Freebooter,0.35,XLN,Uncommon
Prying Blade,0.35,XLN,Common
Repeating Barrage,0.35,XLN,Rare
Shadowed Caravel,0.35,XLN,Rare
Tilonallis Skinshifter,0.35,XLN,Rare
Daring Saboteur,0.34,XLN,Rare
Emperors Vanguard,0.34,XLN,Rare
Forest277,0.33,XLN,Basic Land
Adanto Vanguard,0.32,XLN,Uncommon
Drover of the Mighty,0.32,XLN,Uncommon
Snapping Sailback,0.31,XLN,Uncommon
Bellowing Aegisaur,0.30,XLN,Uncommon
Call to the Feast,0.30,XLN,Uncommon
Lookouts Dispersal,0.30,XLN,Uncommon
Merfolk Branchwalker,0.30,XLN,Uncommon
Raging Swordtooth,0.30,XLN,Uncommon
Sheltering Light,0.30,XLN,Uncommon
Sky Terror,0.30,XLN,Uncommon
Spell Pierce,0.30,XLN,Common
Walk the Plank,0.30,XLN,Uncommon
Deadeye Plunderers,0.28,XLN,Uncommon
Raptor Hatchling,0.28,XLN,Uncommon
Island265,0.27,XLN,Basic Land
Dire Fleet Captain,0.26,XLN,Uncommon
Atzocan Archer,0.25,XLN,Uncommon
Belligerent Brontodon,0.25,XLN,Uncommon
Bishop of the Bloodstained,0.25,XLN,Uncommon
Bonded Horncrest,0.25,XLN,Uncommon
Charging Monstrosaur,0.25,XLN,Uncommon
Commune with Dinosaurs,0.25,XLN,Common
Costly Plunder,0.25,XLN,Common
Deathless Ancient,0.25,XLN,Uncommon
Dinosaur Stampede,0.25,XLN,Uncommon
Dive Down,0.25,XLN,Common
Dusk Legion Dreadnought,0.25,XLN,Uncommon
Duskborne Skymarcher,0.25,XLN,Uncommon
Emissary of Sunrise,0.25,XLN,Uncommon
Fiery Cannonade,0.25,XLN,Uncommon
Glorifier of Dusk,0.25,XLN,Uncommon
Grim Captains Call,0.25,XLN,Uncommon
Heartless Pillage,0.25,XLN,Uncommon
Hierophants Chalice,0.25,XLN,Common
Imperial Aerosaur,0.25,XLN,Uncommon
Inspiring Cleric,0.25,XLN,Uncommon
Kinjallis Caller,0.25,XLN,Common
Kumenas Speaker,0.25,XLN,Uncommon
Lightning Strike,0.25,XLN,Uncommon
Lightning-Rig Crew,0.25,XLN,Uncommon
Lurking Chupacabra,0.25,XLN,Uncommon
Makeshift Munitions,0.25,XLN,Uncommon
Marauding Looter,0.25,XLN,Uncommon
Mountain275,0.25,XLN,Basic Land
Navigators Ruin,0.25,XLN,Uncommon
Opt,0.25,XLN,Common
Perilous Voyage,0.25,XLN,Uncommon
Pirates Prize,0.25,XLN,Common
Pounce,0.25,XLN,Common
Rigging Runner,0.25,XLN,Uncommon
Rile,0.25,XLN,Common
River Sneak,0.25,XLN,Uncommon
Savage Stomp,0.25,XLN,Uncommon
Seekers Squire,0.25,XLN,Uncommon
Sentinel Totem,0.25,XLN,Uncommon
Shapers of Nature,0.25,XLN,Uncommon
Sirens Ruse,0.25,XLN,Common
Sleek Schooner,0.25,XLN,Uncommon
Slice in Twain,0.25,XLN,Uncommon
Steadfast Armasaur,0.25,XLN,Uncommon
Storm Fleet Aerialist,0.25,XLN,Uncommon
Storm Fleet Arsonist,0.25,XLN,Uncommon
Storm Fleet Spy,0.25,XLN,Uncommon
Tempest Caller,0.25,XLN,Uncommon
Thundering Spineback,0.25,XLN,Uncommon
Trove of Temptation,0.25,XLN,Uncommon
Verdant Rebirth,0.25,XLN,Uncommon
Vineshaper Mystic,0.25,XLN,Uncommon
Wanted Scoundrels,0.25,XLN,Uncommon
Wildgrowth Walker,0.25,XLN,Uncommon
Air Elemental,0.24,XLN,Uncommon
Bright Reprisal,0.24,XLN,Uncommon
Dark Nourishment,0.24,XLN,Uncommon
Emergent Growth,0.24,XLN,Uncommon
Rallying Roar,0.24,XLN,Uncommon
Depths of Desire,0.23,XLN,Common
Elaborate Firecannon,0.23,XLN,Uncommon
Imperial Lancer,0.23,XLN,Uncommon
March of the Drowned,0.23,XLN,Common
Territorial Hammerskull,0.23,XLN,Common
Ancient Brontodon,0.22,XLN,Common
Sun-Crowned Hunters,0.22,XLN,Common
Swamp269,0.22,XLN,Basic Land
Thrash of Raptors,0.22,XLN,Common
Forest278,0.21,XLN,Basic Land
Mountain274,0.21,XLN,Basic Land
New Horizons,0.21,XLN,Common
Bishops Soldier,0.20,XLN,Common
Blinding Fog,0.20,XLN,Common
Blossom Dryad,0.20,XLN,Common
Cancel,0.20,XLN,Common
Cobbled Wings,0.20,XLN,Common
Colossal Dreadmaw,0.20,XLN,Common
Contract Killing,0.20,XLN,Common
Dire Fleet Hoarder,0.20,XLN,Common
Duress,0.20,XLN,Common
Forest279,0.20,XLN,Basic Land
Headstrong Brute,0.20,XLN,Common
Hijack,0.20,XLN,Common
Island266,0.20,XLN,Basic Land
Jade Guardian,0.20,XLN,Common
Looming Altisaur,0.20,XLN,Common
Mountain272,0.20,XLN,Basic Land
Mountain273,0.20,XLN,Basic Land
Nest Robber,0.20,XLN,Common
Paladin of the Bloodstained,0.20,XLN,Common
Plains262,0.20,XLN,Basic Land
Prosperous Pirates,0.20,XLN,Common
Queens Commission,0.20,XLN,Common
Ravenous Daggertooth,0.20,XLN,Common
Ritual of Rejuvenation,0.20,XLN,Common
River Heralds Boon,0.20,XLN,Common
Sailor of Means,0.20,XLN,Common
Siren Lookout,0.20,XLN,Common
Swamp268,0.20,XLN,Basic Land
Swamp270,0.20,XLN,Basic Land
Swamp271,0.20,XLN,Basic Land
Unknown Shores,0.20,XLN,Common
Watertrap Weaver,0.20,XLN,Common
Brazen Buccaneers,0.19,XLN,Common
Crushing Canopy,0.19,XLN,Common
Dual Shot,0.19,XLN,Common
Firecannon Blast,0.19,XLN,Common
Grazing Whiptail,0.19,XLN,Common
Island264,0.19,XLN,Basic Land
Ixallis Diviner,0.19,XLN,Common
Legions Judgment,0.19,XLN,Common
Mark of the Vampire,0.19,XLN,Common
Pirates Cutlass,0.19,XLN,Common
Plains261,0.19,XLN,Basic Land
Rummaging Goblin,0.19,XLN,Common
Shaper Apprentice,0.19,XLN,Common
Shipwreck Looter,0.19,XLN,Common
Shore Keeper,0.19,XLN,Common
Skittering Heartstopper,0.19,XLN,Common
Skymarch Bloodletter,0.19,XLN,Common
Slash of Talons,0.19,XLN,Common
Storm Fleet Pyromancer,0.19,XLN,Common
Storm Sculptor,0.19,XLN,Common
Tishanas Wayfinder,0.19,XLN,Common
Vampires Zeal,0.19,XLN,Common
Wind Strider,0.19,XLN,Common
Blight Keeper,0.18,XLN,Common
Crash the Ramparts,0.18,XLN,Common
Deadeye Tormentor,0.18,XLN,Common
Deeproot Warrior,0.18,XLN,Common
Demolish,0.18,XLN,Common
Demystify,0.18,XLN,Common
Desperate Castaways,0.18,XLN,Common
Dire Fleet Interloper,0.18,XLN,Common
Encampment Keeper,0.18,XLN,Common
Fathom Fleet Cutthroat,0.18,XLN,Common
Fathom Fleet Firebrand,0.18,XLN,Common
Fire Shrine Keeper,0.18,XLN,Common
Frenzied Raptor,0.18,XLN,Common
Gilded Sentinel,0.18,XLN,Common
Ixallis Keeper,0.18,XLN,Common
Legion Conquistador,0.18,XLN,Common
One With the Wind,0.18,XLN,Common
Pious Interdiction,0.18,XLN,Common
Plains263,0.18,XLN,Basic Land
Pterodon Knight,0.18,XLN,Common
Queens Agent,0.18,XLN,Common
Queens Bay Soldier,0.18,XLN,Common
Run Aground,0.18,XLN,Common
Shining Aerosaur,0.18,XLN,Common
Skulduggery,0.18,XLN,Common
Skyblade of the Legion,0.18,XLN,Common
Spike-Tailed Ceratops,0.18,XLN,Common
Spreading Rot,0.18,XLN,Common
Sunrise Seeker,0.18,XLN,Common
Sure Strike,0.18,XLN,Common
Swashbuckling,0.18,XLN,Common
Tilonallis Knight,0.18,XLN,Common
Unfriendly Fire,0.18,XLN,Common
Vanquish the Weak,0.18,XLN,Common
Raptor Companion,0.17,XLN,Common
Anointed Deacon,0.16,XLN,Common
Headwater Sentries,0.16,XLN,Common
Island267,0.16,XLN,Basic Land
Jungle Delver,0.16,XLN,Common
Plains260,0.15,XLN,Basic Land
Carnage Tyrant,0.24,XLN,Mythic
Rampaging Ferocidon,0.13,XLN,Rare
Search for Azcanta,0.13,XLN,Rare
Gishath Suns Avatar,0.12,XLN,Mythic
Settle the Wreckage,0.12,XLN,Rare
Sunpetal Grove,0.10,XLN,Rare
Fiery Cannonade,0.08,XLN,Uncommon
Shapers Sanctuary,0.06,XLN,Rare
Bonded Horncrest,0.05,XLN,Uncommon
Cobbled Wings,0.05,XLN,Common
Crushing Canopy,0.05,XLN,Common
Demolish,0.05,XLN,Common
Forest278,0.05,XLN,Basic Land
Gilded Sentinel,0.05,XLN,Common
Heartless Pillage,0.05,XLN,Uncommon
Hijack,0.05,XLN,Common
Legion Conquistador,0.05,XLN,Common
Lurking Chupacabra,0.05,XLN,Uncommon
Mark of the Vampire,0.05,XLN,Common
Mountain273,0.05,XLN,Basic Land
Mountain274,0.05,XLN,Basic Land
Mountain275,0.05,XLN,Basic Land
Queens Agent,0.05,XLN,Common
River Sneak,0.05,XLN,Uncommon
Spreading Rot,0.05,XLN,Common
Tishanas Wayfinder,0.05,XLN,Common
Wanted Scoundrels,0.05,XLN,Uncommon
Atzocan Archer,0.04,XLN,Uncommon
Crash the Ramparts,0.04,XLN,Common
Deathless Ancient,0.04,XLN,Uncommon
Encampment Keeper,0.04,XLN,Common
Fathom Fleet Cutthroat,0.04,XLN,Common
Forest276,0.04,XLN,Basic Land
Frenzied Raptor,0.04,XLN,Common
Glorifier of Dusk,0.04,XLN,Uncommon
Grim Captains Call,0.04,XLN,Uncommon
Headstrong Brute,0.04,XLN,Common
Hierophants Chalice,0.04,XLN,Common
Imperial Aerosaur,0.04,XLN,Uncommon
Inspiring Cleric,0.04,XLN,Uncommon
Island264,0.04,XLN,Basic Land
Island266,0.04,XLN,Basic Land
Legions Judgment,0.04,XLN,Common
Looming Altisaur,0.04,XLN,Common
Plains261,0.04,XLN,Basic Land
Plains262,0.04,XLN,Basic Land
Queens Commission,0.04,XLN,Common
Raptor Companion,0.04,XLN,Common
Ravenous Daggertooth,0.04,XLN,Common
River Heralds Boon,0.04,XLN,Common
Run Aground,0.04,XLN,Common
Shipwreck Looter,0.04,XLN,Common
Shore Keeper,0.04,XLN,Common
Steadfast Armasaur,0.04,XLN,Uncommon
Storm Fleet Aerialist,0.04,XLN,Uncommon
Thrash of Raptors,0.04,XLN,Common
Vanquish the Weak,0.04,XLN,Common
Verdant Rebirth,0.04,XLN,Uncommon
Adanto Vanguard,0.03,XLN,Uncommon
Air Elemental,0.03,XLN,Uncommon
Ancient Brontodon,0.03,XLN,Common
Anointed Deacon,0.03,XLN,Common
Belligerent Brontodon,0.03,XLN,Uncommon
Bellowing Aegisaur,0.03,XLN,Uncommon
Bishop of the Bloodstained,0.03,XLN,Uncommon
Bishops Soldier,0.03,XLN,Common
Blight Keeper,0.03,XLN,Common
Blinding Fog,0.03,XLN,Common
Blossom Dryad,0.03,XLN,Common
Brazen Buccaneers,0.03,XLN,Common
Bright Reprisal,0.03,XLN,Uncommon
Call to the Feast,0.03,XLN,Uncommon
Cancel,0.03,XLN,Common
Captivating Crew,0.03,XLN,Rare
Charging Monstrosaur,0.03,XLN,Uncommon
Chart a Course,0.03,XLN,Uncommon
Colossal Dreadmaw,0.03,XLN,Common
Commune with Dinosaurs,0.03,XLN,Common
Contract Killing,0.03,XLN,Common
Costly Plunder,0.03,XLN,Common
Dark Nourishment,0.03,XLN,Uncommon
Deadeye Plunderers,0.03,XLN,Uncommon
Deadeye Quartermaster,0.03,XLN,Uncommon
Deadeye Tormentor,0.03,XLN,Common
Deeproot Warrior,0.03,XLN,Common
Deeproot Waters,0.03,XLN,Uncommon
Demystify,0.03,XLN,Common
Depths of Desire,0.03,XLN,Common
Desperate Castaways,0.03,XLN,Common
Dinosaur Stampede,0.03,XLN,Uncommon
Dire Fleet Captain,0.03,XLN,Uncommon
Dire Fleet Hoarder,0.03,XLN,Common
Dire Fleet Interloper,0.03,XLN,Common
Dive Down,0.03,XLN,Common
Drover of the Mighty,0.03,XLN,Uncommon
Dual Shot,0.03,XLN,Common
Duress,0.03,XLN,Common
Dusk Legion Dreadnought,0.03,XLN,Uncommon
Duskborne Skymarcher,0.03,XLN,Uncommon
Elaborate Firecannon,0.03,XLN,Uncommon
Emergent Growth,0.03,XLN,Uncommon
Emissary of Sunrise,0.03,XLN,Uncommon
Entrancing Melody,0.03,XLN,Rare
Fathom Fleet Firebrand,0.03,XLN,Common
Favorable Winds,0.03,XLN,Uncommon
Field of Ruin,0.03,XLN,Uncommon
Fire Shrine Keeper,0.03,XLN,Common
Firecannon Blast,0.03,XLN,Common
Forest277,0.03,XLN,Basic Land
Forest279,0.03,XLN,Basic Land
Grazing Whiptail,0.03,XLN,Common
Headwater Sentries,0.03,XLN,Common
Hostage Taker,0.03,XLN,Rare
Imperial Lancer,0.03,XLN,Uncommon
Island265,0.03,XLN,Basic Land
Island267,0.03,XLN,Basic Land
Ixalans Binding,0.03,XLN,Uncommon
Ixallis Diviner,0.03,XLN,Common
Ixallis Keeper,0.03,XLN,Common
Jade Guardian,0.03,XLN,Common
Jungle Delver,0.03,XLN,Common
Kinjallis Caller,0.03,XLN,Common
Kitesail Freebooter,0.03,XLN,Uncommon
Kumenas Speaker,0.03,XLN,Uncommon
Legions Landing,0.03,XLN,Rare
Lightning Strike,0.03,XLN,Uncommon
Lightning-Rig Crew,0.03,XLN,Uncommon
Lookouts Dispersal,0.03,XLN,Uncommon
Makeshift Munitions,0.03,XLN,Uncommon
Marauding Looter,0.03,XLN,Uncommon
March of the Drowned,0.03,XLN,Common
Merfolk Branchwalker,0.03,XLN,Uncommon
Mountain272,0.03,XLN,Basic Land
Navigators Ruin,0.03,XLN,Uncommon
Nest Robber,0.03,XLN,Common
New Horizons,0.03,XLN,Common
One With the Wind,0.03,XLN,Common
Opt,0.03,XLN,Common
Otepec Huntmaster,0.03,XLN,Uncommon
Paladin of the Bloodstained,0.03,XLN,Common
Perilous Voyage,0.03,XLN,Uncommon
Pillar of Origins,0.03,XLN,Uncommon
Pious Interdiction,0.03,XLN,Common
Pirates Cutlass,0.03,XLN,Common
Pirates Prize,0.03,XLN,Common
Plains260,0.03,XLN,Basic Land
Plains263,0.03,XLN,Basic Land
Pounce,0.03,XLN,Common
Priest of the Wakening Sun,0.03,XLN,Rare
Prosperous Pirates,0.03,XLN,Common
Prying Blade,0.03,XLN,Common
Pterodon Knight,0.03,XLN,Common
Queens Bay Soldier,0.03,XLN,Common
Raging Swordtooth,0.03,XLN,Uncommon
Raiders Wake,0.03,XLN,Uncommon
Rallying Roar,0.03,XLN,Uncommon
Ranging Raptors,0.03,XLN,Uncommon
Raptor Hatchling,0.03,XLN,Uncommon
Rigging Runner,0.03,XLN,Uncommon
Rile,0.03,XLN,Common
Ritual of Rejuvenation,0.03,XLN,Common
Rummaging Goblin,0.03,XLN,Common
Ruthless Knave,0.03,XLN,Uncommon
Sailor of Means,0.03,XLN,Common
Savage Stomp,0.03,XLN,Uncommon
Seekers Squire,0.03,XLN,Uncommon
Sentinel Totem,0.03,XLN,Uncommon
Shaper Apprentice,0.03,XLN,Common
Shapers of Nature,0.03,XLN,Uncommon
Sheltering Light,0.03,XLN,Uncommon
Shining Aerosaur,0.03,XLN,Common
Siren Lookout,0.03,XLN,Common
Siren Stormtamer,0.03,XLN,Uncommon
Sirens Ruse,0.03,XLN,Common
Skittering Heartstopper,0.03,XLN,Common
Skulduggery,0.03,XLN,Common
Sky Terror,0.03,XLN,Uncommon
Skyblade of the Legion,0.03,XLN,Common
Skymarch Bloodletter,0.03,XLN,Common
Slash of Talons,0.03,XLN,Common
Sleek Schooner,0.03,XLN,Uncommon
Slice in Twain,0.03,XLN,Uncommon
Snapping Sailback,0.03,XLN,Uncommon
Spell Pierce,0.03,XLN,Common
Spike-Tailed Ceratops,0.03,XLN,Common
Star of Extinction,0.03,XLN,Mythic
Storm Fleet Arsonist,0.03,XLN,Uncommon
Storm Fleet Pyromancer,0.03,XLN,Common
Storm Fleet Spy,0.03,XLN,Uncommon
Storm Sculptor,0.03,XLN,Common
Sun-Crowned Hunters,0.03,XLN,Common
Sunrise Seeker,0.03,XLN,Common
Sure Strike,0.03,XLN,Common
Swamp268,0.03,XLN,Basic Land
Swamp269,0.03,XLN,Basic Land
Swamp270,0.03,XLN,Basic Land
Swamp271,0.03,XLN,Basic Land
Swashbuckling,0.03,XLN,Common
Tempest Caller,0.03,XLN,Uncommon
Territorial Hammerskull,0.03,XLN,Common
Thundering Spineback,0.03,XLN,Uncommon
Tilonallis Knight,0.03,XLN,Common
Tishana Voice of Thunder,0.03,XLN,Mythic
Trove of Temptation,0.03,XLN,Uncommon
Unclaimed Territory,0.03,XLN,Uncommon
Unfriendly Fire,0.03,XLN,Common
Unknown Shores,0.03,XLN,Common
Vampires Zeal,0.03,XLN,Common
Vicious Conquistador,0.03,XLN,Uncommon
Vineshaper Mystic,0.03,XLN,Uncommon
Walk the Plank,0.03,XLN,Uncommon
Watertrap Weaver,0.03,XLN,Common
Wildgrowth Walker,0.03,XLN,Uncommon
Wily Goblin,0.03,XLN,Uncommon
Wind Strider,0.03,XLN,Common
Admiral Beckett Brass,0.02,XLN,Mythic
Angraths Marauders,0.02,XLN,Rare
Arcane Adaptation,0.02,XLN,Rare
Arguels Blood Fast,0.02,XLN,Rare
Ashes of the Abhorrent,0.02,XLN,Rare
Axis of Mortality,0.02,XLN,Mythic
Bishop of Rebirth,0.02,XLN,Rare
Bloodcrazed Paladin,0.02,XLN,Rare
Boneyard Parley,0.02,XLN,Mythic
Burning Suns Avatar,0.02,XLN,Rare
Captain Lannery Storm,0.02,XLN,Rare
Conquerors Galleon,0.02,XLN,Rare
Daring Saboteur,0.02,XLN,Rare
Deadeye Tracker,0.02,XLN,Rare
Deathgorge Scavenger,0.02,XLN,Rare
Deeproot Champion,0.02,XLN,Rare
Dire Fleet Ravager,0.02,XLN,Mythic
Dowsing Dagger,0.02,XLN,Rare
Dragonskull Summit,0.02,XLN,Rare
Dreamcaller Siren,0.02,XLN,Rare
Drowned Catacomb,0.02,XLN,Rare
Emperors Vanguard,0.02,XLN,Rare
Fathom Fleet Captain,0.02,XLN,Rare
Fell Flagship,0.02,XLN,Rare
Fleet Swallower,0.02,XLN,Rare
Glacial Fortress,0.02,XLN,Rare
Goring Ceratops,0.02,XLN,Rare
Growing Rites of Itlimoc,0.02,XLN,Rare
Herald of Secret Streams,0.02,XLN,Rare
Huatli Warrior Poet,0.02,XLN,Mythic
Jace Cunning Castaway,0.02,XLN,Mythic
Kinjallis Sunwing,0.02,XLN,Rare
Kopala Warden of Waves,0.02,XLN,Rare
Mavren Fein Dusk Apostle,0.02,XLN,Rare
Old-Growth Dryads,0.02,XLN,Rare
Overflowing Insight,0.02,XLN,Mythic
Primal Amulet,0.02,XLN,Rare
Regisaur Alpha,0.02,XLN,Rare
Repeating Barrage,0.02,XLN,Rare
Revel in Riches,0.02,XLN,Rare
Ripjaw Raptor,0.02,XLN,Rare
Rivers Rebuke,0.02,XLN,Rare
Rootbound Crag,0.02,XLN,Rare
Rowdy Crew,0.02,XLN,Mythic
Ruin Raider,0.02,XLN,Rare
Sanctum Seeker,0.02,XLN,Rare
Sanguine Sacrament,0.02,XLN,Rare
Shadowed Caravel,0.02,XLN,Rare
Sorcerous Spyglass,0.02,XLN,Rare
Spell Swindle,0.02,XLN,Rare
Sunbirds Invocation,0.02,XLN,Rare
Sword-Point Diplomacy,0.02,XLN,Rare
Thaumatic Compass,0.02,XLN,Rare
Tilonallis Skinshifter,0.02,XLN,Rare
Tocatli Honor Guard,0.02,XLN,Rare
Treasure Map,0.02,XLN,Rare
Vances Blasting Cannons,0.02,XLN,Rare
Vanquishers Banner,0.02,XLN,Rare
Verdant Suns Avatar,0.02,XLN,Rare
Vona Butcher of Magan,0.02,XLN,Mythic
Vraskas Contempt,0.02,XLN,Rare
Vraska Relic Seeker,0.02,XLN,Mythic
Wakening Suns Avatar,0.02,XLN,Mythic
Waker of the Wilds,0.02,XLN,Rare
"Tabletop
 159","DECLINING CARDS
39▼","PRICE CHANGE
-0.46","RISING CARDS
13▲"
Child of Alara,20.00,CON,Mythic
Noble Hierarch,17.42,CON,Rare
Progenitus,9.48,CON,Mythic
Kederekt Parasite,7.86,CON,Rare
Nicol Bolas Planeswalker,6.77,CON,Mythic
Font of Mythos,6.17,CON,Rare
Path to Exile,4.99,CON,Uncommon
Reliquary Tower,4.47,CON,Uncommon
Ancient Ziggurat,4.00,CON,Uncommon
Master Transmuter,3.58,CON,Rare
Souls Majesty,3.56,CON,Rare
Magister Sphinx,3.49,CON,Rare
Maelstrom Archangel,3.28,CON,Mythic
Conflux,3.25,CON,Mythic
Ethersworn Adjudicator,2.99,CON,Mythic
Knight of the Reliquary,2.60,CON,Rare
Thornling,2.22,CON,Mythic
Exotic Orchard,2.00,CON,Rare
Mirror-Sigil Sergeant,2.00,CON,Mythic
Wall of Reverence,1.97,CON,Rare
Mark of Asylum,1.82,CON,Rare
Sigil of the Empty Throne,1.40,CON,Rare
Telemin Performance,1.40,CON,Rare
Countersquall,1.23,CON,Uncommon
Rotting Rats,1.17,CON,Common
Martial Coup,1.10,CON,Rare
Banefire,1.06,CON,Rare
Giltspire Avenger,1.00,CON,Rare
Rakka Mar,1.00,CON,Rare
Malfegor,0.99,CON,Mythic
Apocalypse Hydra,0.95,CON,Mythic
Lapse of Certainty,0.85,CON,Common
Paleoloth,0.84,CON,Rare
Voracious Dragon,0.80,CON,Rare
Inkwell Leviathan,0.73,CON,Rare
Obelisk of Alara,0.73,CON,Rare
Meglonoth,0.71,CON,Rare
Bloodhall Ooze,0.66,CON,Rare
Gwafa Hazid Profiteer,0.65,CON,Rare
Nyxathid,0.60,CON,Rare
Sphinx Summoner,0.59,CON,Rare
Hellspark Elemental,0.50,CON,Uncommon
Knotvine Mystic,0.50,CON,Uncommon
Scepter of Fugue,0.50,CON,Rare
Scattershot Archer,0.47,CON,Common
Shard Convergence,0.45,CON,Uncommon
Blood Tyrant,0.44,CON,Rare
Cliffrunner Behemoth,0.42,CON,Rare
Charnelhoard Wurm,0.39,CON,Rare
Cylian Sunsinger,0.39,CON,Rare
Scepter of Dominance,0.39,CON,Rare
Scepter of Insight,0.38,CON,Rare
Goblin Razerunners,0.37,CON,Rare
Extractor Demon,0.36,CON,Rare
Worldheart Phoenix,0.35,CON,Rare
Volcanic Fallout,0.32,CON,Uncommon
Fusion Elemental,0.29,CON,Uncommon
Gluttonous Slime,0.29,CON,Uncommon
Celestial Purge,0.28,CON,Uncommon
Aerie Mystics,0.25,CON,Uncommon
Armillary Sphere,0.25,CON,Common
Ashas Favor,0.25,CON,Common
Controlled Instincts,0.25,CON,Uncommon
Cumber Stone,0.25,CON,Uncommon
Dragonsoul Knight,0.25,CON,Uncommon
Dreadwing,0.25,CON,Uncommon
Elder Mastery,0.25,CON,Uncommon
Esperzoa,0.25,CON,Uncommon
Filigree Fracture,0.25,CON,Uncommon
Fleshformer,0.25,CON,Uncommon
Hellkite Hatchling,0.25,CON,Uncommon
Ignite Disorder,0.25,CON,Uncommon
Jhessian Balmgiver,0.25,CON,Uncommon
Mana Cylix,0.25,CON,Common
Manaforce Mace,0.25,CON,Uncommon
Nacatl Hunt-Pride,0.25,CON,Uncommon
Nacatl Outlander,0.25,CON,Common
Paragon of the Amesha,0.25,CON,Uncommon
Rupture Spire,0.25,CON,Common
Sacellum Archers,0.25,CON,Uncommon
Scarland Thrinax,0.25,CON,Uncommon
