Name,Set,Rarity,Price
GrandWarlordRadha,DOM,Rare,0.80
BenalishMarshal,DOM,Rare,0.75
TraxosScourgeofKroog,DOM,Rare,0.69
TesharAncestorsApostle,DOM,Rare,0.64
ForebearsBlade,DOM,Rare,0.61
GoblinWarchief,DOM,Uncommon,0.60
TempestDjinn,DOM,Rare,0.60
NabanDeanofIteration,DOM,Rare,0.55
YawgmothsVileOffering,DOM,Rare,0.55
TheAntiquitiesWar,DOM,Rare,0.54
JhoirasFamiliar,DOM,Uncommon,0.51
AryelKnightofWindgrace,DOM,Rare,0.50
BairdStewardofArgive,DOM,Uncommon,0.50
DanithaCapashenParagon,DOM,Uncommon,0.50
TerritorialAllosaurus,DOM,Rare,0.50
TheMirariConjecture,DOM,Rare,0.50
Unwind,DOM,Common,0.50
VerdantForce,DOM,Rare,0.50
JayasImmolatingInferno,DOM,Rare,0.49
LichsMastery,DOM,Rare,0.49
PrecognitionField,DOM,Rare,0.49
TheMendingofDominaria,DOM,Rare,0.49
FalloftheThran,DOM,Rare,0.48
GrowfromtheAshes,DOM,Common,0.48
TheEldestReborn,DOM,Uncommon,0.48
TorgaarFamineIncarnate,DOM,Rare,0.48
DreadShade,DOM,Rare,0.44
MishrasSelfReplicator,DOM,Rare,0.44
RiteofBelzenlok,DOM,Rare,0.43
CastDown,DOM,Uncommon,0.42
WhisperBloodLiturgist,DOM,Uncommon,0.42
NiambiFaithfulHealer,DOM,Rare,0.41
BrokenBond,DOM,Common,0.40
ChandrasOutburst,DOM,Rare,0.40
GaeasBlessing,DOM,Uncommon,0.40
WizardsRetort,DOM,Uncommon,0.40
EvraHalcyonWitness,DOM,Rare,0.39
TwoHeadedGiant,DOM,Rare,0.39
CuratorsWard,DOM,Uncommon,0.38
KazarovSengirPureblood,DOM,Rare,0.35
SporecrownThallid,DOM,Uncommon,0.35
DauntlessBodyguard,DOM,Uncommon,0.34
TheFirstEruption,DOM,Rare,0.34
ZhalfirinVoid,DOM,Uncommon,0.34
DaringArchaeologist,DOM,Rare,0.33
HaphazardBombardment,DOM,Rare,0.33
LlanowarElves,DOM,Common,0.33
ZahidDjinnoftheLamp,DOM,Rare,0.33
SlimefoottheStowaway,DOM,Uncommon,0.32
AdeliztheCinderWind,DOM,Uncommon,0.30
ArvadtheCursed,DOM,Uncommon,0.30
FungalPlots,DOM,Uncommon,0.30
KnightofMalice,DOM,Uncommon,0.30
SealAway,DOM,Uncommon,0.30
ShannaSisaysLegacy,DOM,Uncommon,0.30
SkirkProspector,DOM,Common,0.30
SporeSwarm,DOM,Uncommon,0.30
WizardsLightning,DOM,Uncommon,0.30
AmaranthineWall,DOM,Uncommon,0.29
KnightofGrace,DOM,Uncommon,0.29
RaffCapashenShipsMage,DOM,Uncommon,0.29
ValdukKeeperoftheFlame,DOM,Uncommon,0.29
LlanowarScout,DOM,Common,0.27
SettletheScore,DOM,Uncommon,0.27
TheFlameofKeld,DOM,Uncommon,0.27
ArtificersAssistant,DOM,Common,0.25
BlinkofanEye,DOM,Common,0.25
BoardtheWeatherlight,DOM,Uncommon,0.25
ChainersTorment,DOM,Uncommon,0.25
ChampionoftheFlame,DOM,Uncommon,0.25
DiligentExcavator,DOM,Uncommon,0.25
ElfhameDruid,DOM,Uncommon,0.25
FightwithFire,DOM,Uncommon,0.25
FirefistAdept,DOM,Uncommon,0.25
GarnatheBloodflame,DOM,Uncommon,0.25
GhituLavarunner,DOM,Common,0.25
GoblinBarrage,DOM,Uncommon,0.25
GrunntheLonelyKing,DOM,Uncommon,0.25
HallartheFirefletcher,DOM,Uncommon,0.25
HowlingGolem,DOM,Uncommon,0.25
IcyManipulator,DOM,Uncommon,0.25
InBolassClutches,DOM,Uncommon,0.25
KarplusanHound,DOM,Uncommon,0.25
KwendePrideofFemeref,DOM,Uncommon,0.25
LingeringPhantom,DOM,Uncommon,0.25
MeanderingRiver,DOM,Common,0.25
MemorialtoFolly,DOM,Uncommon,0.25
MemorialtoGenius,DOM,Uncommon,0.25
MemorialtoGlory,DOM,Uncommon,0.25
MemorialtoUnity,DOM,Uncommon,0.25
MemorialtoWar,DOM,Uncommon,0.25
Mountain262,DOM,Basic Land,0.25
NaturesSpiral,DOM,Uncommon,0.25
OnSerrasWings,DOM,Uncommon,0.25
Opt,DOM,Common,0.25
OrcishVandal,DOM,Uncommon,0.25
RonaDiscipleofGix,DOM,Uncommon,0.25
SageofLatNam,DOM,Uncommon,0.25
SaprolingMigration,DOM,Common,0.25
SentinelofthePearlTrident,DOM,Uncommon,0.25
SerraAngel,DOM,Uncommon,0.25
ShieldoftheRealm,DOM,Uncommon,0.25
Skizzik,DOM,Uncommon,0.25
SlinnVodatheRisingDeep,DOM,Uncommon,0.25
SorcerersWand,DOM,Uncommon,0.25
Swamp258,DOM,Basic Land,0.25
TeferisSentinel,DOM,Uncommon,0.25
ThallidSoothsayer,DOM,Uncommon,0.25
ThornElemental,DOM,Uncommon,0.25
TianaShipsCaretaker,DOM,Uncommon,0.25
TimeofIce,DOM,Uncommon,0.25
TriumphofGerrard,DOM,Uncommon,0.25
UntamedKavu,DOM,Uncommon,0.25
UrgorostheEmptyOne,DOM,Uncommon,0.25
UrzasTome,DOM,Uncommon,0.25
WarcryPhoenix,DOM,Uncommon,0.25
WarlordsFury,DOM,Common,0.25
WeightofMemory,DOM,Uncommon,0.25
WildOnslaught,DOM,Uncommon,0.25
YargleGluttonofUrborg,DOM,Uncommon,0.25
Forest269,DOM,Basic Land,0.24
Island254,DOM,Basic Land,0.24
Juggernaut,DOM,Uncommon,0.24
PowerstoneShard,DOM,Common,0.24
SanctumSpirit,DOM,Uncommon,0.24
TemporalMachinations,DOM,Common,0.24
VoltaicServant,DOM,Common,0.24
AdventurousImpulse,DOM,Common,0.23
DemonicVigor,DOM,Common,0.23
Forest266,DOM,Basic Land,0.23
Island257,DOM,Basic Land,0.23
Syncopate,DOM,Common,0.22
TimberGorge,DOM,Common,0.22
YavimayaSapherd,DOM,Common,0.22
Divest,DOM,Common,0.21
FungalInfection,DOM,Common,0.21
Mountain265,DOM,Basic Land,0.21
SparringConstruct,DOM,Common,0.21
Swamp260,DOM,Basic Land,0.21
AcademyJourneymage,DOM,Common,0.20
AdamantWill,DOM,Common,0.20
AncientAnimus,DOM,Common,0.20
ArborArmament,DOM,Common,0.20
ArcaneFlight,DOM,Common,0.20
BenalishHonorGuard,DOM,Common,0.20
BlessingofBelzenlok,DOM,Common,0.20
BloodstoneGoblin,DOM,Common,0.20
CaligoSkinWitch,DOM,Common,0.20
CalltheCavalry,DOM,Common,0.20
CorrosiveOoze,DOM,Common,0.20
DarkBargain,DOM,Common,0.20
DeepFreeze,DOM,Common,0.20
Forest267,DOM,Basic Land,0.20
Forest268,DOM,Basic Land,0.20
GhituJourneymage,DOM,Common,0.20
GiftofGrowth,DOM,Common,0.20
HomaridExplorer,DOM,Common,0.20
InvoketheDivine,DOM,Common,0.20
Island255,DOM,Basic Land,0.20
Island256,DOM,Basic Land,0.20
JoustingLance,DOM,Common,0.20
MesaUnicorn,DOM,Common,0.20
Mountain263,DOM,Basic Land,0.20
NavigatorsCompass,DOM,Common,0.20
Plains250,DOM,Basic Land,0.20
Plains251,DOM,Basic Land,0.20
Plains252,DOM,Basic Land,0.20
Plains253,DOM,Basic Land,0.20
RadiatingLightning,DOM,Common,0.20
RampagingCyclops,DOM,Common,0.20
RunAmok,DOM,Common,0.20
ShivanFire,DOM,Common,0.20
ShortSword,DOM,Common,0.20
SkitteringSurveyor,DOM,Common,0.20
Swamp259,DOM,Basic Land,0.20
Swamp261,DOM,Basic Land,0.20
ThallidOmnivore,DOM,Common,0.20
TragicPoet,DOM,Common,0.20
AcademyDrake,DOM,Common,0.19
BalothGorger,DOM,Common,0.19
Befuddle,DOM,Common,0.19
BlessedLight,DOM,Common,0.19
BloodtallowCandle,DOM,Common,0.19
CabalPaladin,DOM,Common,0.19
Charge,DOM,Common,0.19
CloudreaderSphinx,DOM,Common,0.19
ColdWaterSnapper,DOM,Common,0.19
DAvenantTrapper,DOM,Common,0.19
DeathbloomThallid,DOM,Common,0.19
Divination,DOM,Common,0.19
Dub,DOM,Common,0.19
FeralAbomination,DOM,Common,0.19
FerventStrike,DOM,Common,0.19
FrenziedRage,DOM,Common,0.19
GhituChronicler,DOM,Common,0.19
GideonsReproach,DOM,Common,0.19
GuardiansofKoilos,DOM,Common,0.19
HealingGrace,DOM,Common,0.19
KeldonOverseer,DOM,Common,0.19
KeldonRaider,DOM,Common,0.19
KeldonWarcaller,DOM,Common,0.19
KrosanDruid,DOM,Common,0.19
LlanowarEnvoy,DOM,Common,0.19
MammothSpider,DOM,Common,0.19
Mountain264,DOM,Basic Land,0.19
PardicWanderer,DOM,Common,0.19
PrimordialWurm,DOM,Common,0.19
RelicRunner,DOM,Common,0.19
Rescue,DOM,Common,0.19
SeismicShift,DOM,Common,0.19
SergeantatArms,DOM,Common,0.19
SerraDisciple,DOM,Common,0.19
TolarianScholar,DOM,Common,0.19
ViciousOffering,DOM,Common,0.19
VodalianArcanist,DOM,Common,0.19
AesthirGlider,DOM,Common,0.18
AvenSentry,DOM,Common,0.18
CabalEvangel,DOM,Common,0.18
DrudgeSentinel,DOM,Common,0.18
Eviscerate,DOM,Common,0.18
ExcavationElephant,DOM,Common,0.18
FireElemental,DOM,Common,0.18
GaeasProtector,DOM,Common,0.18
KnightofNewBenalia,DOM,Common,0.18
PyromanticPilgrim,DOM,Common,0.18
SoulSalvage,DOM,Common,0.18
StrongholdConfessor,DOM,Common,0.18
WindgraceAcolyte,DOM,Common,0.18
FieryIntervention,DOM,Common,0.17
PegasusCourser,DOM,Common,0.17
PiercetheSky,DOM,Common,0.17
TeferiHeroofDominaria,DOM,Mythic,3.17
KarnScionofUrza,DOM,Mythic,2.34
MoxAmber,DOM,Mythic,2.28
FiresongandSunspeaker,DOM,Rare,1.36
ChandrasOutburst,DOM,Rare,0.79
PyromanticPilgrim,DOM,Common,0.76
KarplusanHound,DOM,Uncommon,0.65
TimberGorge,DOM,Common,0.49
SulfurFalls,DOM,Rare,0.34
TeferisSentinel,DOM,Uncommon,0.34
CastDown,DOM,Uncommon,0.31
MeanderingRiver,DOM,Common,0.31
TemporalMachinations,DOM,Common,0.30
NiambiFaithfulHealer,DOM,Rare,0.26
ChandraBoldPyromancer,DOM,Mythic,0.25
DampingSphere,DOM,Uncommon,0.22
TeferiTimebender,DOM,Mythic,0.22
GoblinChainwhirler,DOM,Rare,0.17
IsolatedChapel,DOM,Rare,0.14
LyraDawnbringer,DOM,Mythic,0.13
HistoryofBenalia,DOM,Mythic,0.09
AvenSentry,DOM,Common,0.05
BloodstoneGoblin,DOM,Common,0.05
CloudreaderSphinx,DOM,Common,0.05
DarkBargain,DOM,Common,0.05
DeathbloomThallid,DOM,Common,0.05
Divination,DOM,Common,0.05
DrudgeSentinel,DOM,Common,0.05
Dub,DOM,Common,0.05
ExcavationElephant,DOM,Common,0.05
FeralAbomination,DOM,Common,0.05
FerventStrike,DOM,Common,0.05
FirefistAdept,DOM,Uncommon,0.05
GideonsReproach,DOM,Common,0.05
InvoketheDivine,DOM,Common,0.05
Island255,DOM,Basic Land,0.05
Juggernaut,DOM,Uncommon,0.05
KnightofNewBenalia,DOM,Common,0.05
LingeringPhantom,DOM,Uncommon,0.05
NaturesSpiral,DOM,Uncommon,0.05
OrcishVandal,DOM,Uncommon,0.05
PegasusCourser,DOM,Common,0.05
PiercetheSky,DOM,Common,0.05
Plains252,DOM,Basic Land,0.05
PrimordialWurm,DOM,Common,0.05
RampagingCyclops,DOM,Common,0.05
RelicRunner,DOM,Common,0.05
SanctumSpirit,DOM,Uncommon,0.05
SentinelofthePearlTrident,DOM,Uncommon,0.05
SergeantatArms,DOM,Common,0.05
StrongholdConfessor,DOM,Common,0.05
Swamp259,DOM,Basic Land,0.05
Swamp261,DOM,Basic Land,0.05
ThallidOmnivore,DOM,Common,0.05
ThornElemental,DOM,Uncommon,0.05
VodalianArcanist,DOM,Common,0.05
WarcryPhoenix,DOM,Uncommon,0.05
WildOnslaught,DOM,Uncommon,0.05
WindgraceAcolyte,DOM,Common,0.05
AcademyDrake,DOM,Common,0.04
AcademyJourneymage,DOM,Common,0.04
Befuddle,DOM,Common,0.04
BenalishHonorGuard,DOM,Common,0.04
BloodtallowCandle,DOM,Common,0.04
CabalEvangel,DOM,Common,0.04
ChainersTorment,DOM,Uncommon,0.04
Charge,DOM,Common,0.04
DeepFreeze,DOM,Common,0.04
DemonicVigor,DOM,Common,0.04
Eviscerate,DOM,Common,0.04
Forest267,DOM,Basic Land,0.04
FrenziedRage,DOM,Common,0.04
GaeasProtector,DOM,Common,0.04
GhituJourneymage,DOM,Common,0.04
GiftofGrowth,DOM,Common,0.04
GuardiansofKoilos,DOM,Common,0.04
HealingGrace,DOM,Common,0.04
Island254,DOM,Basic Land,0.04
Island256,DOM,Basic Land,0.04
JoustingLance,DOM,Common,0.04
MesaUnicorn,DOM,Common,0.04
Mountain262,DOM,Basic Land,0.04
Mountain263,DOM,Basic Land,0.04
Mountain265,DOM,Basic Land,0.04
MultaniYavimayasAvatar,DOM,Mythic,0.04
PardicWanderer,DOM,Common,0.04
Plains250,DOM,Basic Land,0.04
Plains253,DOM,Basic Land,0.04
RadiatingLightning,DOM,Common,0.04
RonaDiscipleofGix,DOM,Uncommon,0.04
RunAmok,DOM,Common,0.04
ShivanFire,DOM,Common,0.04
ShortSword,DOM,Common,0.04
SoulSalvage,DOM,Common,0.04
Swamp260,DOM,Basic Land,0.04
TolarianScholar,DOM,Common,0.04
UrgorostheEmptyOne,DOM,Uncommon,0.04
YavimayaSapherd,DOM,Common,0.04
AdamantWill,DOM,Common,0.03
AdeliztheCinderWind,DOM,Uncommon,0.03
AdventurousImpulse,DOM,Common,0.03
AesthirGlider,DOM,Common,0.03
AmaranthineWall,DOM,Uncommon,0.03
AncientAnimus,DOM,Common,0.03
ArborArmament,DOM,Common,0.03
ArcaneFlight,DOM,Common,0.03
ArtificersAssistant,DOM,Common,0.03
ArvadtheCursed,DOM,Uncommon,0.03
BairdStewardofArgive,DOM,Uncommon,0.03
BalothGorger,DOM,Common,0.03
BlackbladeReforged,DOM,Rare,0.03
BlessedLight,DOM,Common,0.03
BlessingofBelzenlok,DOM,Common,0.03
BlinkofanEye,DOM,Common,0.03
BoardtheWeatherlight,DOM,Uncommon,0.03
BrokenBond,DOM,Common,0.03
CabalPaladin,DOM,Common,0.03
CabalStronghold,DOM,Rare,0.03
CaligoSkinWitch,DOM,Common,0.03
CalltheCavalry,DOM,Common,0.03
ChampionoftheFlame,DOM,Uncommon,0.03
ClifftopRetreat,DOM,Rare,0.03
ColdWaterSnapper,DOM,Common,0.03
CorrosiveOoze,DOM,Common,0.03
CuratorsWard,DOM,Uncommon,0.03
DAvenantTrapper,DOM,Common,0.03
DanithaCapashenParagon,DOM,Uncommon,0.03
DauntlessBodyguard,DOM,Uncommon,0.03
DiligentExcavator,DOM,Uncommon,0.03
Divest,DOM,Common,0.03
ElfhameDruid,DOM,Uncommon,0.03
FieryIntervention,DOM,Common,0.03
FightwithFire,DOM,Uncommon,0.03
FinalParting,DOM,Uncommon,0.03
FireElemental,DOM,Common,0.03
Forest266,DOM,Basic Land,0.03
Forest268,DOM,Basic Land,0.03
Forest269,DOM,Basic Land,0.03
FungalInfection,DOM,Common,0.03
FungalPlots,DOM,Uncommon,0.03
GaeasBlessing,DOM,Uncommon,0.03
GarnatheBloodflame,DOM,Uncommon,0.03
GhituChronicler,DOM,Common,0.03
GhituLavarunner,DOM,Common,0.03
GoblinBarrage,DOM,Uncommon,0.03
GoblinWarchief,DOM,Uncommon,0.03
GrowfromtheAshes,DOM,Common,0.03
GrunntheLonelyKing,DOM,Uncommon,0.03
HallartheFirefletcher,DOM,Uncommon,0.03
HomaridExplorer,DOM,Common,0.03
HowlingGolem,DOM,Uncommon,0.03
IcyManipulator,DOM,Uncommon,0.03
InBolassClutches,DOM,Uncommon,0.03
Island257,DOM,Basic Land,0.03
JhoirasFamiliar,DOM,Uncommon,0.03
JhoiraWeatherlightCaptain,DOM,Mythic,0.03
KeldonOverseer,DOM,Common,0.03
KeldonRaider,DOM,Common,0.03
KeldonWarcaller,DOM,Common,0.03
KnightofGrace,DOM,Uncommon,0.03
KnightofMalice,DOM,Uncommon,0.03
KrosanDruid,DOM,Common,0.03
KwendePrideofFemeref,DOM,Uncommon,0.03
LlanowarElves,DOM,Common,0.03
LlanowarEnvoy,DOM,Common,0.03
LlanowarScout,DOM,Common,0.03
MammothSpider,DOM,Common,0.03
MemorialtoFolly,DOM,Uncommon,0.03
MemorialtoGenius,DOM,Uncommon,0.03
MemorialtoGlory,DOM,Uncommon,0.03
MemorialtoUnity,DOM,Uncommon,0.03
MemorialtoWar,DOM,Uncommon,0.03
MerfolkTrickster,DOM,Uncommon,0.03
Mountain264,DOM,Basic Land,0.03
MuldrothatheGravetide,DOM,Mythic,0.03
NavigatorsCompass,DOM,Common,0.03
OnSerrasWings,DOM,Uncommon,0.03
Opt,DOM,Common,0.03
PhyrexianScriptures,DOM,Mythic,0.03
Plains251,DOM,Basic Land,0.03
PowerstoneShard,DOM,Common,0.03
RaffCapashenShipsMage,DOM,Uncommon,0.03
RatColony,DOM,Common,0.03
Rescue,DOM,Common,0.03
SageofLatNam,DOM,Uncommon,0.03
SaprolingMigration,DOM,Common,0.03
SealAway,DOM,Uncommon,0.03
SeismicShift,DOM,Common,0.03
SerraAngel,DOM,Uncommon,0.03
SerraDisciple,DOM,Common,0.03
SettletheScore,DOM,Uncommon,0.03
ShannaSisaysLegacy,DOM,Uncommon,0.03
ShieldoftheRealm,DOM,Uncommon,0.03
SkirkProspector,DOM,Common,0.03
SkitteringSurveyor,DOM,Common,0.03
Skizzik,DOM,Uncommon,0.03
SlimefoottheStowaway,DOM,Uncommon,0.03
SlinnVodatheRisingDeep,DOM,Uncommon,0.03
SongofFreyalise,DOM,Uncommon,0.03
SorcerersWand,DOM,Uncommon,0.03
SparringConstruct,DOM,Common,0.03
SporeSwarm,DOM,Uncommon,0.03
SporecrownThallid,DOM,Uncommon,0.03
Swamp258,DOM,Basic Land,0.03
Syncopate,DOM,Common,0.03
TatyovaBenthicDruid,DOM,Uncommon,0.03
TetsukoUmezawaFugitive,DOM,Uncommon,0.03
ThallidSoothsayer,DOM,Uncommon,0.03
TheEldestReborn,DOM,Uncommon,0.03
TheFlameofKeld,DOM,Uncommon,0.03
TianaShipsCaretaker,DOM,Uncommon,0.03
TimeofIce,DOM,Uncommon,0.03
TragicPoet,DOM,Common,0.03
TriumphofGerrard,DOM,Uncommon,0.03
UntamedKavu,DOM,Uncommon,0.03
Unwind,DOM,Common,0.03
UrzasTome,DOM,Uncommon,0.03
ValdukKeeperoftheFlame,DOM,Uncommon,0.03
VerixBladewing,DOM,Mythic,0.03
ViciousOffering,DOM,Common,0.03
VoltaicServant,DOM,Common,0.03
WarlordsFury,DOM,Common,0.03
Weatherlight,DOM,Mythic,0.03
WeightofMemory,DOM,Uncommon,0.03
WhisperBloodLiturgist,DOM,Uncommon,0.03
WizardsLightning,DOM,Uncommon,0.03
WizardsRetort,DOM,Uncommon,0.03
WoodlandCemetery,DOM,Rare,0.03
YargleGluttonofUrborg,DOM,Uncommon,0.03
ZhalfirinVoid,DOM,Uncommon,0.03
AryelKnightofWindgrace,DOM,Rare,0.02
BenalishMarshal,DOM,Rare,0.02
DarigaazReincarnated,DOM,Mythic,0.02
DaringArchaeologist,DOM,Rare,0.02
DemonlordBelzenlok,DOM,Mythic,0.02
DreadShade,DOM,Rare,0.02
EvraHalcyonWitness,DOM,Rare,0.02
FalloftheThran,DOM,Rare,0.02
ForebearsBlade,DOM,Rare,0.02
GildedLotus,DOM,Rare,0.02
GrandWarlordRadha,DOM,Rare,0.02
HaphazardBombardment,DOM,Rare,0.02
HelmoftheHost,DOM,Rare,0.02
HinterlandHarbor,DOM,Rare,0.02
JayaBallard,DOM,Mythic,0.02
JayasImmolatingInferno,DOM,Rare,0.02
JodahArchmageEternal,DOM,Rare,0.02
JosuVessLichKnight,DOM,Rare,0.02
KamahlsDruidicVow,DOM,Rare,0.02
KarnsTemporalSundering,DOM,Rare,0.02
KazarovSengirPureblood,DOM,Rare,0.02
LichsMastery,DOM,Rare,0.02
MarwyntheNurturer,DOM,Rare,0.02
MishrasSelfReplicator,DOM,Rare,0.02
NabanDeanofIteration,DOM,Rare,0.02
NaruMehaMasterWizard,DOM,Mythic,0.02
OathofTeferi,DOM,Rare,0.02
PrecognitionField,DOM,Rare,0.02
PrimevalsGloriousRebirth,DOM,Rare,0.02
RiteofBelzenlok,DOM,Rare,0.02
ShalaiVoiceofPlenty,DOM,Rare,0.02
SiegeGangCommander,DOM,Rare,0.02
SqueetheImmortal,DOM,Rare,0.02
SteelLeafChampion,DOM,Rare,0.02
SylvanAwakening,DOM,Rare,0.02
TempestDjinn,DOM,Rare,0.02
TerritorialAllosaurus,DOM,Rare,0.02
TesharAncestorsApostle,DOM,Rare,0.02
TheAntiquitiesWar,DOM,Rare,0.02
TheFirstEruption,DOM,Rare,0.02
TheMendingofDominaria,DOM,Rare,0.02
TheMirariConjecture,DOM,Rare,0.02
ThranTemporalGateway,DOM,Rare,0.02
TorgaarFamineIncarnate,DOM,Rare,0.02
TraxosScourgeofKroog,DOM,Rare,0.02
TwoHeadedGiant,DOM,Rare,0.02
UrzasRuinousBlast,DOM,Rare,0.02
VerdantForce,DOM,Rare,0.02
YawgmothsVileOffering,DOM,Rare,0.02
ZahidDjinnoftheLamp,DOM,Rare,0.02
