"card_name";"price";"set_name";"rarity"
"0.20";"4.00";"1.00";"0.52"
"0.21";"45.00";"17.00";"0.45"
"0.22";"-1.00";"2.00";"-0.10"
"0.23";"1.00";"0.00";"0.38"
"0.24";"1.00";"1.00";"0.30"
"0.25";"1.00";"3.00";"0.11"
"0.26";"9.00";"7.00";"0.33"
"0.27";"-1.00";"1.00";"-0.56"
"0.29";"-3.00";"2.00";"-0.36"
"0.30";"0.00";"2.00";"-0.03"
"0.35";"1.00";"2.00";"0.30"
"0.36";"1.00";"2.00";"0.13"
"0.37";"4.00";"3.00";"0.51"
"0.39";"-1.00";"2.00";"-0.23"
"0.41";"-6.00";"8.00";"-0.37"
"0.44";"0.00";"2.00";"0.09"
"0.46";"-1.00";"1.00";"-1.29"
"0.49";"5.00";"5.00";"0.50"
"0.52";"19.00";"5.00";"1.77"
"0.64";"0.00";"2.00";"0.04"
"0.69";"16.00";"7.00";"1.56"
"0.87";"4.00";"1.00";"4.26"
"0.90";"1.00";"1.00";"0.82"
"0.96";"4.00";"4.00";"0.98"
"0.97";"-1.00";"3.00";"-0.27"
"1.21";"-16.00";"48.00";"-0.69"
"1.32";"14.00";"7.00";"2.64"
"1.37";"670.00";"68.00";"2.95"
"1.47";"4.00";"5.00";"1.26"
"1.57";"40.00";"37.00";"1.68"
"13.70";"30.00";"25.00";"15.82"
"Abnormal Endurance";"0.25";"M19";"Common"
"Abominable Treefolk";"0.29";"MH1";"Uncommon"
"Abomination of Gudul";"0.19";"KTK";"Common"
"Abrupt Decay";"4.85";"MM3";"Rare"
"Absorb";"1.00";"RNA";"Rare"
"Absorb Vis";"0.23";"CON";"Common"
"Abyssal Persecutor";"1.21";"WWK";"Mythic"
"Abyssal Specter";"0.26";"MM3";"Uncommon"
"Abzan Advantage";"0.20";"FRF";"Common"
"Abzan Ascendancy";"0.38";"KTK";"Rare"
"Abzan Banner";"0.21";"KTK";"Common"
"Abzan Battle Priest";"0.40";"IMA";"Uncommon"
"Abzan Beastmaster";"0.26";"FRF";"Uncommon"
"Abzan Charm";"0.26";"KTK";"Uncommon"
"Abzan Falconer";"0.29";"IMA";"Uncommon"
"Abzan Guide";"0.19";"KTK";"Common"
"Abzan Kin-Guard";"0.24";"FRF";"Uncommon"
"Abzan Runemark";"0.19";"FRF";"Common"
"Abzan Skycaptain";"0.19";"FRF";"Common"
"Academy Drake";"0.19";"DOM";"Common"
"Academy Journeymage";"0.20";"DOM";"Common"
"Academy Ruins";"12.35";"MMA";"Rare"
"Accomplished Automaton";"0.18";"KLD";"Common"
"Acidic Slime";"0.29";"M13";"Uncommon"
"Acolyte of Affliction";"0.25";"THB";"Uncommon"
"Acrobatic Maneuver";"0.20";"KLD";"Common"
"Act of Treason";"0.20";"RNA";"Common"
"Adamant Will";"0.20";"DOM";"Common"
"Adanto Vanguard";"0.33";"XLN";"Uncommon"
"Adaptive Snapjaw";"0.18";"GTC";"Common"
"Adarkar Valkyrie";"0.99";"MMA";"Rare"
"Adeliz the Cinder Wind";"0.31";"DOM";"Uncommon"
"Admiral Beckett Brass";"3.45";"XLN";"Mythic"
"Admonition Angel";"1.60";"WWK";"Mythic"
"Advent of the Wurm";"0.47";"MM3";"Rare"
"Adventurous Impulse";"0.23";"DOM";"Common"
"Advice from the Fae";"0.27";"SHM";"Uncommon"
"Aegis Automaton";"0.19";"AER";"Common"
"Aegis of the Heavens";"0.25";"M19";"Uncommon"
"Aerial Engineer";"0.25";"M19";"Uncommon"
"Aerial Maneuver";"0.18";"GTC";"Common"
"Aerial Modification";"0.25";"AER";"Uncommon"
"Aerial Predation";"0.20";"IMA";"Common"
"Aerial Responder";"0.25";"KLD";"Uncommon"
"Aerie Mystics";"0.25";"CON";"Uncommon"
"Aeromunculus";"0.19";"RNA";"Common"
"Aeronaut Admiral";"0.25";"AER";"Uncommon"
"Aesthir Glider";"0.18";"DOM";"Common"
"Aether Chaser";"0.19";"AER";"Common"
"Aether Herder";"0.18";"AER";"Common"
"Aether Hub";"0.35";"KLD";"Uncommon"
"Aether Inspector";"0.17";"AER";"Common"
"Aether Meltdown";"0.24";"KLD";"Uncommon"
"Aether Poisoner";"0.19";"AER";"Common"
"Aether Spellbomb";"0.33";"MRD";"Common"
"Aether Swooper";"0.18";"AER";"Common"
"Aether Theorist";"0.19";"KLD";"Common"
"Aether Tradewinds";"0.20";"WWK";"Common"
"Aether Tunnel";"0.32";"M19";"Uncommon"
"Aether Vial";"30.95";"IMA";"Rare"
"Aetherborn Marauder";"0.24";"KLD";"Uncommon"
"Aetherflux Reservoir";"15.99";"KLD";"Rare"
"Aethergeode Miner";"0.37";"AER";"Rare"
"Aetherize";"0.95";"IMA";"Uncommon"
"Aethermages Touch";"0.39";"MM3";"Rare"
"Aethershield Artificer";"0.25";"M19";"Uncommon"
"Aethersnipe";"0.23";"UMA";"Common"
"Aethersphere Harvester";"0.50";"AER";"Rare"
"Aethersquall Ancient";"0.35";"KLD";"Rare"
"Aetherstorm Roc";"0.33";"KLD";"Rare"
"Aetherstream Leopard";"0.17";"AER";"Common"
"Aethertide Whale";"0.35";"AER";"Rare"
"Aethertorch Renegade";"0.24";"KLD";"Uncommon"
"Aethertow";"0.22";"SHM";"Common"
"Aetherwind Basker";"0.74";"AER";"Mythic"
"Aetherworks Marvel";"1.63";"KLD";"Mythic"
"Affa Guard Hound";"0.25";"DDP";"Uncommon"
"Affectionate Indrik";"0.24";"GRN";"Uncommon"
"Afflicted Deserter";"0.48";"DKA";"Uncommon"
"Agadeem Occultist";"0.50";"WWK";"Rare"
"Agent of Masks";"0.29";"MM3";"Uncommon"
"Agonizing Remorse";"0.25";"THB";"Uncommon"
"Agony Warp";"0.25";"MM3";"Common"
"Agoraphobia";"0.24";"GTC";"Uncommon"
"Agrus Kos Wojek Veteran";"0.49";"RAV";"Rare"
"Ahn-Crop Invader";"0.18";"WAR";"Common"
"Aid from the Cowl";"0.39";"AER";"Rare"
"Aid the Fallen";"0.20";"WAR";"Common"
"Ainok Bond-Kin";"0.23";"IMA";"Common"
"Ainok Guide";"0.20";"FRF";"Common"
"Ainok Tracker";"0.19";"KTK";"Common"
"Air Elemental";"0.24";"XLN";"Uncommon"
"Airdrop Aeronauts";"0.24";"AER";"Uncommon"
"Ajani Adversary of Tyrants";"4.07";"M19";"Mythic"
"Ajani Caller of the Pride";"4.00";"M13";"Mythic"
"Ajani the Greathearted";"1.48";"WAR";"Rare"
"Ajani Unyielding";"1.47";"AER";"Mythic"
"Ajani Valiant ProtectorFoil";"2.50";"AER";"nan"
"Ajanis Aid";"0.35";"AER";"Rare"
"Ajanis Comrade";"0.25";"AER";"Uncommon"
"Ajanis Last Stand";"0.31";"M19";"Rare"
"Ajanis Pridemate";"0.33";"IMA";"Uncommon"
"Ajanis Sunstriker";"0.25";"M13";"Common"
"Ajanis Welcome";"1.50";"M19";"Uncommon"
"Akoum Battlesinger";"0.25";"WWK";"Common"
"Akoum Refuge";"0.29";"DDP";"Uncommon"
"Akroan Crusader";"0.25";"UMA";"Common"
"Akromas Memorial";"13.13";"M13";"Mythic"
"Alabaster Kirin";"0.18";"KTK";"Common"
"Alesha Who Smiles at Death";"0.47";"FRF";"Rare"
"Aleshas Vanguard";"0.18";"FRF";"Common"
"Alirios Enraptured";"0.25";"THB";"Uncommon"
"All Is Dust";"8.49";"UMA";"Rare"
"Alley Evasion";"0.18";"AER";"Common"
"Alley Strangler";"0.18";"AER";"Common"
"Allure of the Unknown";"0.30";"THB";"Rare"
"Alms Beast";"0.30";"GTC";"Rare"
"Alpha Authority";"1.19";"GTC";"Uncommon"
"Alpha Brawl";"0.40";"DKA";"Rare"
"Alpha Myr";"0.21";"MRD";"Common"
"Alpine Grizzly";"0.24";"KTK";"Common"
"Alpine Guide";"0.25";"MH1";"Uncommon"
"Alpine Moon";"6.77";"M19";"Rare"
"Alseid of Lifes Bounty";"0.49";"THB";"Uncommon"
"Altar of Dementia";"8.88";"MH1";"Rare"
"Altar of Shadows";"0.48";"MRD";"Rare"
"Altar of the Brood";"5.88";"KTK";"Rare"
"Altar of the Lost";"0.24";"DKA";"Uncommon"
"Altar of the Pantheon";"0.22";"THB";"Common"
"Altars Light";"0.25";"MRD";"Uncommon"
"Amaranthine Wall";"0.28";"DOM";"Uncommon"
"Amass the Components";"0.20";"IMA";"Common"
"Ambitious Aetherborn";"0.17";"KLD";"Common"
"Ambush Krotiq";"0.19";"FRF";"Common"
"Amorphous Axe";"0.18";"MH1";"Common"
"Amplifire";"0.31";"RNA";"Rare"
"Amrou Scout";"0.23";"MMA";"Common"
"Amrou Seekers";"0.23";"MMA";"Common"
"Amulet of Safekeeping";"0.39";"M19";"Rare"
"Amulet of Vigor";"22.53";"WWK";"Rare"
"Anafenza the Foremost";"1.63";"KTK";"Mythic"
"Anathemancer";"0.32";"ARB";"Uncommon"
"Anax Hardened in the Forge";"0.25";"THB";"Uncommon"
"Ancestors Chosen";"0.25";"UMA";"Uncommon"
"Ancestral Vengeance";"0.19";"FRF";"Common"
"Ancestral Vision";"4.21";"IMA";"Rare"
"Ancient Animus";"0.20";"DOM";"Common"
"Ancient Brontodon";"0.22";"XLN";"Common"
"Ancient Den";"1.29";"MRD";"Common"
"Ancient Grudge";"0.29";"MM3";"Uncommon"
"Ancient Tomb";"68.47";"UMA";"Rare"
"Ancient Ziggurat";"4.01";"CON";"Uncommon"
"Angel of Despair";"1.15";"UMA";"Uncommon"
"Angel of Grace";"1.00";"RNA";"Mythic"
"Angel of Invention";"3.62";"KLD";"Mythic"
"Angel of Mercy";"0.22";"IMA";"Common"
"Angel of Serenity";"0.91";"RTR";"Mythic"
"Angel of the Dawn";"0.20";"M19";"Common"
"Angelic Accord";"1.05";"IMA";"Uncommon"
"Angelic Benediction";"0.25";"M13";"Uncommon"
"Angelic Edict";"0.20";"GTC";"Common"
"Angelic Exaltation";"0.25";"RNA";"Uncommon"
"Angelic Renewal";"0.28";"UMA";"Common"
"Angelic Skirmisher";"1.28";"GTC";"Rare"
"Angels Grace";"3.13";"MMA";"Rare"
"Angels Mercy";"0.24";"M13";"Common"
"Anger";"3.05";"UMA";"Uncommon"
"Anger of the Gods";"1.45";"IMA";"Rare"
"Angrath Captain of Chaos";"0.30";"WAR";"Uncommon"
"Angraths Marauders";"1.00";"XLN";"Rare"
"Angraths Rampage";"0.36";"WAR";"Uncommon"
"Animation Module";"0.93";"KLD";"Rare"
"Ankle Shanker";"0.40";"KTK";"Rare"
"Annihilating Fire";"0.20";"RTR";"Common"
"Annul";"0.23";"MRD";"Common"
"Anointed Deacon";"0.16";"XLN";"Common"
"Anowon the Ruin Sage";"2.32";"WWK";"Rare"
"Answered Prayers";"0.25";"MH1";"Common"
"Anticipate";"0.22";"M19";"Common"
"Apex Hawks";"0.22";"WWK";"Common"
"Apex of Power";"0.78";"M19";"Mythic"
"Aphemia the Cacophony";"0.35";"THB";"Rare"
"Aphotic Wisps";"0.34";"SHM";"Common"
"Apocalypse Hydra";"0.94";"CON";"Mythic"
"Apothecary Initiate";"0.24";"SHM";"Common"
"Appetite for Brains";"0.25";"UMA";"Uncommon"
"Appetite for the Unnatural";"0.20";"KLD";"Common"
"Applied Biomancy";"0.19";"RNA";"Common"
"Apprentice Necromancer";"1.35";"UMA";"Uncommon"
"Aquus Steed";"0.24";"RTR";"Uncommon"
"Arachnus Spinner";"0.29";"MM3";"Uncommon"
"Arachnus Web";"0.25";"MM3";"Common"
"Aradara Express";"0.20";"KLD";"Common"
"Arashin Cleric";"0.20";"FRF";"Common"
"Arashin War Beast";"0.23";"FRF";"Uncommon"
"Arasta of the Endless Web";"1.01";"THB";"Rare"
"Arbor Armament";"0.20";"DOM";"Common"
"Arbor Elf";"0.64";"WWK";"Common"
"Arborback Stomper";"0.24";"KLD";"Uncommon"
"Arboreal Grazer";"0.32";"WAR";"Common"
"Arboretum Elemental";"0.25";"GRN";"Uncommon"
"Arc Lightning";"0.25";"KTK";"Uncommon"
"Arc-Slogger";"0.38";"MRD";"Rare"
"Arcades the Strategist";"2.94";"M19";"Mythic"
"Arcane Adaptation";"3.69";"XLN";"Rare"
"Arcane Encyclopedia";"0.29";"M19";"Uncommon"
"Arcane Flight";"0.20";"DOM";"Common"
"Arcane Sanctum";"1.22";"MM3";"Uncommon"
"Arcbond";"0.50";"FRF";"Rare"
"Arcbound Ravager";"17.52";"MMA";"Rare"
"Arcbound Stinger";"0.25";"MMA";"Common"
"Arcbound Wanderer";"0.24";"MMA";"Common"
"Arcbound Worker";"0.35";"MMA";"Common"
"Archaeomancer";"0.35";"UMA";"Common"
"Archangel of Thune";"23.14";"IMA";"Mythic"
"Archangels Light";"0.88";"DKA";"Mythic"
"Archers of Qarsi";"0.19";"FRF";"Common"
"Archers Parapet";"0.20";"KTK";"Common"
"Archfiend of Depravity";"3.62";"FRF";"Rare"
"Architect of the Untamed";"0.35";"KLD";"Rare"
"Architects of Will";"0.50";"ARB";"Common"
"Archmages Charm";"21.02";"MH1";"Rare"
"Archon of Falling Stars";"0.25";"THB";"Uncommon"
"Archon of Redemption";"0.39";"WWK";"Rare"
"Archon of Suns Grace";"0.69";"THB";"Rare"
"Archon of the Triumvirate";"0.33";"RTR";"Rare"
"Archway Angel";"0.25";"RNA";"Uncommon"
"Archweaver";"0.25";"RTR";"Uncommon"
"Arclight Phoenix";"6.99";"GRN";"Mythic"
"Arctic Aven";"0.25";"M13";"Uncommon"
"Arcums Astrolabe";"0.27";"MH1";"Common"
"Ardent Plea";"3.50";"ARB";"Uncommon"
"Arena Athlete";"0.20";"UMA";"Common"
"Arena Trickster";"0.14";"THB";"Common"
"Arguels Blood Fast";"0.55";"XLN";"Rare"
"Aria of Flame";"1.19";"MH1";"Rare"
"Arid Mesa";"21.71";"MM3";"Rare"
"Arlinn Voice of the Pack";"0.35";"WAR";"Uncommon"
"Arlinns Wolf";"0.19";"WAR";"Common"
"Armada Wurm";"1.00";"RTR";"Mythic"
"Armament Corps";"0.24";"KTK";"Uncommon"
"Armillary Sphere";"0.25";"CON";"Common"
"Armorcraft Judge";"0.25";"KLD";"Uncommon"
"Armored Ascension";"0.32";"SHM";"Uncommon"
"Armored Transport";"0.17";"GTC";"Common"
"Armory Guard";"0.17";"RTR";"Common"
"Arms Dealer";"0.32";"M13";"Uncommon"
"Arrest";"0.23";"MRD";"Common"
"Arresters Admonition";"0.18";"RNA";"Common"
"Arresters Zeal";"0.18";"RNA";"Common"
"Arrow Storm";"0.20";"KTK";"Common"
"Arrows of Justice";"0.24";"GTC";"Uncommon"
"Arsenal Thresher";"0.24";"ARB";"Common"
"Artful Dodge";"0.30";"DKA";"Common"
"Artful Takedown";"0.15";"GRN";"Common"
"Artificers Assistant";"0.25";"DOM";"Common"
"Artisan of Kozilek";"1.02";"UMA";"Uncommon"
"Arvad the Cursed";"0.30";"DOM";"Uncommon"
"Aryel Knight of Windgrace";"0.50";"DOM";"Rare"
"Ash Zealot";"0.49";"RTR";"Rare"
"Ashas Favor";"0.25";"CON";"Common"
"Ashcloud Phoenix";"0.61";"KTK";"Mythic"
"Ashenmoor Cohort";"0.22";"SHM";"Common"
"Ashenmoor Gouger";"0.27";"SHM";"Uncommon"
"Ashenmoor Liege";"4.74";"SHM";"Rare"
"Ashes of the Abhorrent";"0.60";"XLN";"Rare"
"Ashiok Dream Render";"1.99";"WAR";"Uncommon"
"Ashiok Nightmare Muse";"4.09";"THB";"Mythic"
"Ashiok Sculptor of Fears";"2.50";"THB";"Mythic"
"Ashioks Erasure";"0.34";"THB";"Rare"
"Ashioks Skulker";"0.18";"WAR";"Common"
"Aspect of Lamprey";"0.19";"THB";"Common"
"Aspect of Manticore";"0.18";"THB";"Common"
"Assassins Strike";"0.23";"RTR";"Uncommon"
"Assassins Trophy";"14.46";"GRN";"Rare"
"Assault Formation";"0.94";"IMA";"Uncommon"
"Assault Griffin";"0.17";"GTC";"Common"
"Assemble the Legion";"2.00";"GTC";"Rare"
"Assert Authority";"0.25";"MRD";"Uncommon"
"Assure  Assemble";"0.37";"GRN";"Rare"
"Astral Drift";"0.44";"MH1";"Rare"
"Atarka World Render";"0.57";"FRF";"Rare"
"Atog";"0.39";"MRD";"Uncommon"
"Atris Oracle of Half-Truths";"0.43";"THB";"Rare"
"Attended Knight";"0.24";"MM3";"Common"
"Attune with Aether";"0.25";"KLD";"Common"
"Atzocan Archer";"0.25";"XLN";"Uncommon"
"Audacious Infiltrator";"0.17";"AER";"Common"
"Auger Spree";"0.23";"MM3";"Common"
"Augmenting Automaton";"0.16";"AER";"Common"
"Augur of Bolas";"0.30";"MM3";"Common"
"Augury Adept";"0.62";"SHM";"Rare"
"Aunties Snitch";"0.27";"MMA";"Uncommon"
"Auratouched Mage";"0.25";"RAV";"Uncommon"
"Aurelia Exemplar of Justice";"1.99";"GRN";"Mythic"
"Aurelia the Warleader";"32.61";"GTC";"Mythic"
"Aurelias Fury";"7.29";"GTC";"Mythic"
"Auriok Bladewarden";"0.25";"MRD";"Uncommon"
"Auriok Champion";"17.01";"IMA";"Rare"
"Auriok Salvagers";"0.44";"MMA";"Rare"
"Auriok Steelshaper";"1.64";"MRD";"Rare"
"Auriok Transfixer";"0.24";"MRD";"Common"
"Austere Command";"3.11";"IMA";"Rare"
"Authority of the Consuls";"7.99";"KLD";"Rare"
"Autochthon Wurm";"3.00";"RAV";"Rare"
"Avacyn Angel of Hope";"46.44";"IMA";"Mythic"
"Avacyns Collar";"0.24";"DKA";"Uncommon"
"Avacyns Pilgrim";"0.36";"MM3";"Common"
"Avalanche Tusker";"0.32";"KTK";"Rare"
"Aven Eternal";"0.20";"WAR";"Common"
"Aven Mimeomancer";"0.65";"ARB";"Rare"
"Aven Sentry";"0.18";"DOM";"Common"
"Aven Skirmisher";"0.19";"FRF";"Common"
"Aven Squire";"0.22";"CON";"Common"
"Aven Surveyor";"0.20";"FRF";"Common"
"Aven Trailblazer";"0.23";"CON";"Common"
"Aven Wind Mage";"0.19";"M19";"Common"
"Avenger of Zendikar";"7.99";"WWK";"Mythic"
"Avenger of ZendikarFoil";"7.24";"DDP";"Mythic"
"Avenging Arrow";"0.20";"RTR";"Common"
"Avian Changeling";"0.25";"MMA";"Common"
"Aviary Mechanic";"0.19";"KLD";"Common"
"Aviation Pioneer";"0.22";"M19";"Common"
"Awaken the Bear";"0.21";"KTK";"Common"
"Awaken the Erstwhile";"0.52";"RNA";"Rare"
"Awakening of Vitu-Ghazi";"0.35";"WAR";"Rare"
"Awe Strike";"0.25";"MRD";"Common"
"Axebane Beast";"0.17";"RNA";"Common"
"Axebane Guardian";"0.34";"RTR";"Common"
"Axebane Stag";"0.16";"RTR";"Common"
"Axis of Mortality";"1.03";"XLN";"Mythic"
"Ayula Queen Among Bears";"0.50";"MH1";"Rare"
"Ayulas Influence";"0.50";"MH1";"Rare"
"Azorius Arrester";"0.20";"RTR";"Common"
"Azorius Chancery";"0.26";"IMA";"Uncommon"
"Azorius Charm";"0.39";"IMA";"Uncommon"
"Azorius Guildgate";"0.25";"MM3";"Common"
"Azorius Guildgate243";"0.20";"RNA";"Common"
"Azorius Guildgate244";"0.19";"RNA";"Common"
"Azorius Justiciar";"0.25";"RTR";"Uncommon"
"Azorius Keyrune";"0.25";"RTR";"Uncommon"
"Azorius Knight-Arbiter";"0.19";"RNA";"Common"
"Azorius Locket";"0.25";"RNA";"Common"
"Azorius Signet";"0.93";"MM3";"Uncommon"
"Azorius Skyguard";"0.25";"RNA";"Uncommon"
"Azors Elocutors";"0.46";"RTR";"Rare"
"Azra Smokeshaper";"0.25";"MH1";"Common"
"Azure Mage";"0.25";"MM3";"Uncommon"
"Back to Basics";"13.49";"UMA";"Rare"
"Baird Steward of Argive";"0.49";"DOM";"Uncommon"
"Bala Ged Scorpion";"0.20";"IMA";"Common"
"Balefire Dragon";"28.78";"UMA";"Mythic"
"Ballista Charger";"0.25";"KLD";"Uncommon"
"Ballynock Cohort";"0.24";"SHM";"Common"
"Baloth Cage Trap";"0.25";"MM3";"Uncommon"
"Baloth Gorger";"0.19";"DOM";"Common"
"Balustrade Spy";"0.25";"IMA";"Common"
"Band Together";"0.20";"WAR";"Common"
"Bane Alley Broker";"0.24";"GTC";"Uncommon"
"Banefire";"0.94";"M19";"Rare"
"Banehound";"0.25";"WAR";"Common"
"Banishing Light";"0.25";"THB";"Uncommon"
"Banishing Stroke";"0.25";"MM3";"Uncommon"
"Bankrupt in Blood";"0.26";"RNA";"Uncommon"
"Banshees Blade";"0.27";"MRD";"Uncommon"
"Bant Sojourners";"0.24";"ARB";"Common"
"Bant Sureblade";"0.24";"ARB";"Common"
"Bar the Door";"0.25";"DKA";"Common"
"Baral Chief of Compliance";"5.20";"AER";"Rare"
"Barals Expertise";"0.94";"AER";"Rare"
"Barbarian Riftcutter";"0.20";"RAV";"Common"
"Barging Sergeant";"0.17";"GRN";"Common"
"Barkshell Blessing";"0.24";"SHM";"Common"
"Barrage of Boulders";"0.20";"KTK";"Common"
"Barren Moor";"0.29";"MH1";"Uncommon"
"Barrenton Cragtreads";"0.23";"SHM";"Common"
"Barrenton Medic";"0.25";"SHM";"Common"
"Barricade Breaker";"0.25";"AER";"Uncommon"
"Barrier of Bones";"0.18";"GRN";"Common"
"Barter in Blood";"0.25";"MRD";"Uncommon"
"Bartizan Bats";"0.15";"GRN";"Common"
"Basilica Bell-Haunt";"0.26";"RNA";"Uncommon"
"Basilica Guards";"0.19";"GTC";"Common"
"Basilica Screecher";"0.25";"GTC";"Common"
"Basilisk Collar";"3.19";"WWK";"Rare"
"Basking Rootwalla";"0.25";"UMA";"Common"
"Bastion Enforcer";"0.17";"AER";"Common"
"Bastion Inventor";"0.19";"AER";"Common"
"Bastion Mastodon";"0.17";"KLD";"Common"
"Bathe in Dragonfire";"0.19";"FRF";"Common"
"Bathe in Light";"0.29";"RAV";"Uncommon"
"Batterhorn";"0.19";"RTR";"Common"
"Battle at the Bridge";"0.40";"AER";"Rare"
"Battle Brawler";"0.24";"FRF";"Uncommon"
"Battle Hurda";"0.20";"WWK";"Common"
"Battle of Wits";"0.39";"M13";"Rare"
"Battle Screech";"0.33";"MH1";"Uncommon"
"Battle-Rattle Shaman";"0.20";"IMA";"Common"
"Battlefield Promotion";"0.18";"WAR";"Common"
"Battleflight Eagle";"0.18";"M13";"Common"
"Battlefront Krushok";"0.25";"FRF";"Uncommon"
"Battlegrowth";"0.23";"MRD";"Common"
"Bazaar Krovod";"0.24";"RTR";"Uncommon"
"Bazaar Trademage";"0.40";"MH1";"Rare"
"Bazaar Trader";"3.32";"WWK";"Rare"
"Beacon Behemoth";"0.24";"CON";"Common"
"Beacon Bolt";"0.25";"GRN";"Uncommon"
"Beamsplitter Mage";"0.25";"GRN";"Uncommon"
"Bears Companion";"0.25";"KTK";"Uncommon"
"Beast Whisperer";"2.46";"GRN";"Rare"
"Beastbreaker of Bala Ged";"0.24";"DDP";"Uncommon"
"Beckon Apparition";"0.19";"GTC";"Common"
"Become Immense";"0.30";"KTK";"Uncommon"
"Bedeck  Bedazzle";"0.33";"RNA";"Rare"
"Bedevil";"2.14";"RNA";"Rare"
"Befuddle";"0.19";"DOM";"Common"
"Beguiler of Wills";"2.50";"DKA";"Mythic"
"Behemoth Sledge";"0.32";"ARB";"Uncommon"
"Belligerent Brontodon";"0.25";"XLN";"Uncommon"
"Bellowing Aegisaur";"0.30";"XLN";"Uncommon"
"Bellowing Elk";"0.20";"MH1";"Common"
"Bellowing Saddlebrute";"0.24";"KTK";"Uncommon"
"Bellows Lizard";"0.19";"RTR";"Common"
"Belltower Sphinx";"0.25";"RAV";"Uncommon"
"Benalish Honor Guard";"0.20";"DOM";"Common"
"Benalish Marshal";"0.75";"DOM";"Rare"
"Benevolent Ancestor";"0.19";"IMA";"Common"
"Benthic Biomancer";"0.63";"RNA";"Rare"
"Beseech the Queen";"3.52";"SHM";"Uncommon"
"Bestial Menace";"0.25";"WWK";"Uncommon"
"Betrayal of Flesh";"0.25";"MRD";"Uncommon"
"Bewilder";"0.20";"IMA";"Common"
"Bioessence Hydra";"0.40";"WAR";"Rare"
"Biogenic Ooze";"3.53";"RNA";"Mythic"
"Biogenic Upgrade";"0.25";"RNA";"Uncommon"
"Biomancers Familiar";"0.99";"RNA";"Rare"
"Biomass Mutation";"0.42";"GTC";"Rare"
"Bioshift";"0.24";"GTC";"Common"
"Biovisionary";"0.98";"GTC";"Rare"
"Birds of Paradise";"14.31";"RAV";"Rare"
"Birthing Boughs";"0.26";"MH1";"Uncommon"
"Bishop of Rebirth";"0.57";"XLN";"Rare"
"Bishop of the Bloodstained";"0.25";"XLN";"Uncommon"
"Bishops Soldier";"0.20";"XLN";"Common"
"Biting Tether";"0.25";"SHM";"Uncommon"
"Bitter Revelation";"0.20";"KTK";"Common"
